Library,Plate,Row,Col,CNAME,Name_Adduct,Jaclyn's Observations,Color Code,Library_Isomer,Formula,Monoisotopic_mass,HMDBID,KEGGID,Column,Adduct,KEGG_col_adduct,mz_lib,time_lib
Ken-IDX,2,C,4,N(PAI)-METHYL-L-HISTIDINE,N(PAI)-METHYL-L-HISTIDINE_M+H-NH3,poor peak shape,y,,C7H11N3O2,169.0851,HMDB0000001,C01152,HILIC,M+H-NH3,C01152_HILIC_M+H-NH3,153.065827,204.242148
Ken-IDX,2,C,4,N(PAI)-METHYL-L-HISTIDINE,N(PAI)-METHYL-L-HISTIDINE_M+Na,pass,g,,C7H11N3O2,169.0851,HMDB0000001,C01152,HILIC,M+Na,C01152_HILIC_M+Na,192.07432,204.769422
Ken-IDX,2,C,4,N(PAI)-METHYL-L-HISTIDINE,N(PAI)-METHYL-L-HISTIDINE_M+K,pass,g,,C7H11N3O2,169.0851,HMDB0000001,C01152,HILIC,M+K,C01152_HILIC_M+K,208.04826,204.847614
Ken-IDX,2,C,4,N(PAI)-METHYL-L-HISTIDINE,N(PAI)-METHYL-L-HISTIDINE_M+2Na-H,pass,g,,C7H11N3O2,169.0851,HMDB0000001,C01152,HILIC,M+2Na-H,C01152_HILIC_M+2Na-H,214.056264,204.622992
Ken-IDX,2,C,4,N(PAI)-METHYL-L-HISTIDINE,N(PAI)-METHYL-L-HISTIDINE_2M+H,pass,g,,C7H11N3O2,169.0851,HMDB0000001,C01152,HILIC,2M+H,C01152_HILIC_2M+H,339.177476,204.303558
Ken-IDX,5,F,4,2-OXOBUTANOATE,2-OXOBUTANOATE_M+H,signal there but fail,y,,C4H6O3,102.0317,HMDB0000005,C00109,HILIC,M+H,C00109_HILIC_M+H,103.038976,129.439044
Ken-IDX,2,D,2,DEOXYURIDINE,DEOXYURIDINE_M+Na,pass,g,,C9H12N2O5,228.0746,HMDB0000012,C00526,HILIC,M+Na,C00526_HILIC_M+Na,251.06382,86.480334
Ken-IDX,2,D,2,DEOXYURIDINE,DEOXYURIDINE_M+2Na-H,pass,g,,C9H12N2O5,228.0746,HMDB0000012,C00526,HILIC,M+2Na-H,C00526_HILIC_M+2Na-H,273.045764,83.283006
Ken-IDX,2,A,3,DEOXYCYTIDINE,DEOXYCYTIDINE_M+H,poor peak shape,y,,C9H13N3O4,227.0906,HMDB0000014,C00881,HILIC,M+H,C00881_HILIC_M+H,228.097876,145.991004
Ken-IDX,2,A,3,DEOXYCYTIDINE,DEOXYCYTIDINE_M+Na,pass,g,,C9H13N3O4,227.0906,HMDB0000014,C00881,HILIC,M+Na,C00881_HILIC_M+Na,250.07982,142.062996
Ken-IDX,7,B,10,Cortexolone,Cortexolone_M+H,early elute,y,yes,C21H30O4,346.2144,HMDB0000015,C05488,HILIC,M+H,C05488_HILIC_M+H,347.221676,53.707836
Ken-IDX,2,C,7,4-PYRIDOXATE,4-PYRIDOXATE_M+H-H2O,pass,g,,C8H9NO4,183.0532,HMDB0000017,C00847,HILIC,M+H-H2O,C00847_HILIC_M+H-H2O,166.049912,58.077666
Ken-IDX,4,B,5,3-UREIDOPROPIONATE,3-UREIDOPROPIONATE_M+H-H2O,pass,g,,C4H8N2O3,132.0535,HMDB0000026,C02642,HILIC,M+H-H2O,C02642_HILIC_M+H-H2O,115.050212,87.039402
Ken-IDX,4,B,5,3-UREIDOPROPIONATE,3-UREIDOPROPIONATE_M+H,pass,g,,C4H8N2O3,132.0535,HMDB0000026,C02642,HILIC,M+H,C02642_HILIC_M+H,133.060776,85.002996
Ken-IDX,4,B,5,3-UREIDOPROPIONATE,3-UREIDOPROPIONATE_M+Na,pass,g,,C4H8N2O3,132.0535,HMDB0000026,C02642,HILIC,M+Na,C02642_HILIC_M+Na,155.04272,87.245004
Ken-IDX,4,B,5,3-UREIDOPROPIONATE,3-UREIDOPROPIONATE_M+2Na-H,pass,g,yes -but different time,C4H8N2O3,132.0535,HMDB0000026,C02642,HILIC,M+2Na-H,C02642_HILIC_M+2Na-H,177.024664,87.033
