"","identified_name","isomer","feature","feature_mode","feature_mz","feature_rt","library_mode","library_mz","library_rt","adduct","kegg_id","mz_error_ppm","rt_error_sec","rt_error_abs_sec","unique_match","MMD"
"1","3-HYDROXYBUTANOIC ACID",NA,"C18_103.0401_55.4","C18",103.0401,55.4,"C18",103.040024,63.533898,"M-H","C01089",0.737577467886261,-8.133898,8.133898,TRUE,""
"2","m-Cresol",NA,"C18_107.0503_138.1","C18",107.0503,138.1,"C18",107.050239,136.9,"M-H","C01467",0.569825911253672,1.19999999999999,1.19999999999999,TRUE,""
"3","FORMATE",NA,"C18_112.9857_50.6","C18",112.9857,50.6,"C18",112.985664,52.425714,"M-H+HCOONa","C00058",0.318624493762092,-1.825714,1.825714,TRUE,""
"4","Levulinic acid",NA,"C18_115.0402_58.3","C18",115.0402,58.3,"C18",115.040068,59.6,"M-H",NA,1.14742630362129,-1.3,1.3,TRUE,""
"5","Isocaproic acid",NA,"C18_115.0765_153.3","C18",115.0765,153.3,"C18",115.076454,149.3,"M-H",NA,0.399734249697579,4,4,TRUE,""
"6","SALICYLAMIDE",NA,"C18_118.0298_146.2","C18",118.0298,146.2,"C18",118.02931,150.46866,"M-H2O-H",NA,4.15151117971641,-4.26866000000001,4.26866000000001,TRUE,""
"7","3-HYDROXYBENZALDEHYDE","yes","C18_121.0295_142.5","C18",121.0295,142.5,"C18",121.029524,145.47027,"M-H","C03067",-0.198298722518724,-2.97027,2.97027,FALSE,""
"8","4-HYDROXYBENZALDEHYDE","yes","C18_121.0295_142.5","C18",121.0295,142.5,"C18",121.029524,145.47027,"M-H","C00633",-0.198298722518724,-2.97027,2.97027,FALSE,""
"9","GLUTARATE",NA,"C18_131.0351_49.4","C18",131.0351,49.4,"C18",131.035024,36.5722704,"M-H","C00489",0.57999760435859,12.8277296,12.8277296,TRUE,""
"10","PYRUVIC ALDEHYDE",NA,"C18_131.035_176.5","C18",131.035,176.5,"C18",131.034951,164.68122,"M+Hac-H","C00546",0.373946032077913,11.81878,11.81878,TRUE,""
"11","PRENOL","yes","C18_131.0714_132.4","C18",131.0714,132.4,"C18",131.071401,127.711572,"M+FA-H","C01390",-0.00762942937853577,4.688428,4.688428,FALSE,""
"12","3-METHYLBUTANAL","yes","C18_131.0714_132.4","C18",131.0714,132.4,"C18",131.071401,127.711572,"M+FA-H","C07329",-0.00762942937853577,4.688428,4.688428,FALSE,""
"13","2-METHYLPROPANAL OXIME","yes","C18_131.0714_132.4","C18",131.0714,132.4,"C18",131.071351,127.711572,"M+Hac-H","C03219",0.373842183242587,4.688428,4.688428,FALSE,""
"14","BUTANAL","yes","C18_131.0714_132.4","C18",131.0714,132.4,"C18",131.071351,127.711572,"M+Hac-H","C01412",0.373842183242587,4.688428,4.688428,FALSE,""
"15","D-ASPARTATE",NA,"C18_132.0302_14.4","C18",132.0302,14.4,"C18",132.030224,41.5930044,"M-H","C00402",-0.181776560465801,-27.1930044,27.1930044,TRUE,""
"16","ADENINE",NA,"C18_134.0473_58.5","C18",134.0473,58.5,"C18",134.047224,61.399488,"M-H","C00147",0.566964370758401,-2.899488,2.899488,TRUE,""
"17","SALICYLAMIDE",NA,"C18_136.0404_141.9","C18",136.0404,141.9,"C18",136.040424,142.87515,"M-H",NA,-0.176418150506861,-0.975149999999985,0.975149999999985,TRUE,""
"18","6-HYDROXYNICOTINATE",NA,"C18_138.0197_154.9","C18",138.0197,154.9,"C18",138.019624,155.066244,"M-H","C01020",0.550646334227591,-0.166244000000006,0.166244000000006,TRUE,""
"19","4-ACETAMIDOBUTANOATE",NA,"C18_144.0667_57.6","C18",144.0667,57.6,"C18",144.066624,47.157576,"M-H","C02946",0.527533705565769,10.442424,10.442424,TRUE,""
"20","PRENOL","yes","C18_145.0871_136.6","C18",145.0871,136.6,"C18",145.087051,131.719536,"M+Hac-H","C01390",0.337728278659229,4.88046399999999,4.88046399999999,FALSE,""
"21","3-METHYLBUTANAL","yes","C18_145.0871_136.6","C18",145.0871,136.6,"C18",145.087051,131.719536,"M+Hac-H","C07329",0.337728278659229,4.88046399999999,4.88046399999999,FALSE,""
"22","2-METHYLBUTANAL","yes","C18_145.0871_136.6","C18",145.0871,136.6,"C18",145.087051,131.719536,"M+Hac-H","C02223",0.337728278659229,4.88046399999999,4.88046399999999,FALSE,""
