"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tyrosine metabolism","160","86","46","29.654","5.3927e-06","1.1272e-05","0.0053638","100","1","0.0003559182","0.000743952","0.3540108","P1","EC0001539;EC0001434;EC000740;EC000657;EC00023;EC00026;EC0001491;EC000557;EC000485;EC000486;EC000487;EC000900;EC000901;EC000904;EC000788;EC000790;EC000793;EC000933;EC000278;EC000432;EC0001252;EC0001057;EC0001059;EC000906;EC000907;EC00082;EC00083;EC00085;EC0001525;EC000171;EC000254;EC0001052;EC0001053;EC0001055;EC000311;EC0001253;EC000444;EC000705;EC0001107;EC000771;EC000772;EC0001068;EC0001071;EC0001077;EC000453;EC0001084;EC0001430;EC0001468;EC0001377"
"Tryptophan metabolism","94","55","26","17.323","0.005162","0.0097141","0.0054495","56","0.56","0.33553","0.6314165","0.3542175","P2","EC00023;EC00026;EC0001103;EC000535;EC0001107;EC000489;EC000775;EC00076;EC000615;EC000933;EC0001567;EC000675;EC00098;EC000254;EC0001434;EC0001497;EC0001466;EC0001583;EC000479;EC0001467;EC0001503;EC000918;EC0001095;EC0001096;EC0001092;EC0001099"
"Polyunsaturated fatty acid biosynthesis","21","1","1","0.73401","0.019397","0.13519","0.0056938","0","0","1","1","0.3644032","P3","EC000697;EC000698;EC000699"
"Fatty Acid Metabolism","63","11","5","3.9636","0.02091","0.058106","0.0057204","0","0","1","1","0.3644032","P4","EC000800;EC0001195;EC000697;EC000698;EC000699;EC000196;EC0001610;EC0001611"
"Lysine metabolism","52","19","9","8.0741","0.025638","0.053578","0.0058045","100","1","1","1","0.3644032","P5","EC00023;EC00026;EC000386;EC000388;EC0001040;EC0001039;EC000838;EC000840;EC000600;EC000603;EC000604;EC000915;EC000916"
"Putative anti-Inflammatory metabolites formation from EPA","27","11","3","1.6148","0.048422","0.17269","0.0062286","0","0","1","1","0.3799446","P6","EC00023;EC00026;EC000961;EC0001597"
"Parathio degradation","6","3","2","1.0276","0.055269","0.23786","0.0063624","7","0.07","1","1","0.381744","P7","EC0001205;EC000572;EC000573"
"Vitamin B6 (pyridoxine) metabolism","11","6","4","3.2296","0.063418","0.16011","0.0065257","96","0.96","1","1","0.3850163","P8","EC000233;EC000235;EC000426;EC000278;EC000561;EC000562"
"Biopterin metabolism","22","8","3","2.4956","0.066078","0.18263","0.0065799","0","0","1","1","0.3850163","P9","EC000142;EC000254;EC00082;EC00083;EC00085"
"C5-Branched dibasic acid metabolism","10","3","2","0.88081","0.1869","0.57769","0.0096326","68","0.68","1","1","0.5490582","P10","EC000404;EC000407"
