"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Fructose and mannose metabolism","20","17","10","6.3993","0.011853","0.030976","0.015782","32","0.32","0.687474","1","0.915356","P1","EC000456;EC000457;EC000458;EC000459;EC00018;EC000270;EC000645;EC000503;EC000504;EC000506;EC000507;EC000699"
"Arachidonic acid metabolism","43","42","39","5.7136","0.012653","0.034439","0.015814","0","0","0.721221","1","0.915356","P2","EC000728;EC000729;EC000179;EC000602;EC000863;EC000865;EC000301;EC000399;EC000719;EC000956;EC000861"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","6","4","4.3424","0.013727","0.041891","0.015859","59","0.59","0.768712","1","0.915356","P3","EC000139;EC000140;EC000537;EC00065;EC00066;EC00067;EC000362;EC000364;EC000365"
"Tryptophan metabolism","41","31","21","15.541","0.061715","0.10082","0.017977","100","1","1","1","0.988735","P4","EC00057;EC000499;EC000444;EC000814;EC000815;EC000818;EC000406;EC000694;EC000829;EC000397;EC000398;EC000488;EC000825;EC000827;EC000833;EC000821;EC000823;EC000607;EC00077;EC000544;EC000880"
"Galactose metabolism","27","24","15","3.8853","0.064357","0.15857","0.018103","0","0","1","1","0.988735","P5","EC00071;EC00018;EC000270;EC000456;EC000457;EC000458;EC000459"
"Biosynthesis of unsaturated fatty acids","36","11","9","7.0849","0.066049","0.13212","0.018183","0","0","1","1","0.988735","P6","EC000560;EC000561;EC000563;EC000433;EC000566;EC000568;EC000179;EC000650;EC000892;EC000897;EC000895"
"Linoleic acid metabolism","4","4","4","3.1996","0.070889","0.18442","0.018416","0","0","1","1","0.988735","P7","EC000566;EC000568;EC000967;EC000968;EC000720;EC000722"
"Porphyrin metabolism","29","11","7","6.3993","0.075038","0.15181","0.018618","0","0","1","1","0.988735","P8","EC000350;EC000518;EC000483;EC000310;EC000312;EC000314;EC0009;EC00010;EC000344;EC000843"
"Tyrosine metabolism","42","36","26","23.997","0.075069","0.10975","0.01862","100","1","1","1","0.988735","P9","EC000451;EC000237;EC000789;EC000362;EC000364;EC000365;EC000779;EC000783;EC000811;EC000812;EC000813;EC000402;EC000794;EC000796;EC000272;EC00065;EC00066;EC00067;EC000623;EC000513;EC000537;EC000685;EC000343;EC000784;EC000786;EC000139;EC000140;EC000377;EC000461;EC000584"
"Vitamin B6 metabolism","9","7","6","5.028","0.097223","0.20257","0.019741","100","1","1","1","0.988735","P10","EC000868;EC000390;EC000237;EC000196;EC000198;EC000201;EC000358;EC000468"
"Metabolism of xenobiotics by cytochrome P450","68","33","15","9.3703","0.18863","0.29739","0.025206","0","0","1","1","1","P11","EC000959;EC000877;EC000878;EC000879;EC0001063;EC0001059;EC0001060;EC000953;EC000942;EC000976;EC000647;EC000544"
"alpha-Linolenic acid metabolism","12","3","3","1.5998","0.19217","0.48765","0.025449","0","0","1","1","1","P12","EC000989;EC000892;EC000986"
"Steroid hormone biosynthesis","87","56","21","10.742","0.2387","0.35207","0.028885","0","0","1","1","1","P13","EC000762;EC000715;EC000438;EC000435;EC000436;EC000340;EC000746;EC000627;EC000703;EC000768;EC000773;EC000937;EC000770"
"Nitrogen metabolism","6","2","2","1.8284","0.25895","0.56461","0.030538","100","1","1","1","1","P14","EC0009;EC00010;EC00045"
"Drug metabolism - cytochrome P450","43","27","12","10.97","0.26531","0.38273","0.031078","3","0.03","1","1","1","P15","EC0001025;EC0001009;EC0001010;EC0001014;EC0001040;EC0001003;EC0001001;EC0001007;EC000814;EC000815;EC0001019;EC0001020;EC0001041"
"Valine, leucine and isoleucine degradation","35","15","9","7.542","0.31219","0.46499","0.035406","0","0","1","1","1","P16","EC000180;EC000182;EC000184;EC000160;EC000116;EC000102;EC000262;EC000519;EC000520"
"Phenylalanine metabolism","8","8","5","6.8563","0.35488","0.52131","0.039939","100","1","1","1","1","P17","EC000378;EC000379;EC00059;EC000685;EC000402;EC00065;EC00066;EC00067"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","3","4.1138","0.37913","0.59849","0.042803","100","1","1","1","1","P18","EC00059;EC00065;EC00066;EC00067;EC000537"
"Starch and sucrose metabolism","12","12","8","2.2854","0.39712","0.69256","0.045078","0","0","1","1","1","P19","EC00071;EC00018;EC000270"
"D-Amino acid metabolism","15","15","8","11.199","0.41988","0.55229","0.048156","100","1","1","1","1","P20","EC00045;EC0009;EC00010;EC000310;EC000312;EC000314;EC000590;EC000591;EC000687;EC000666;EC000668;EC000669"
"Arginine and proline metabolism","35","30","13","16.227","0.4261","0.53502","0.049039","100","1","1","1","1","P21","EC000530;EC000262;EC000290;EC000291;EC000590;EC000591;EC000310;EC000312;EC000314;EC0009;EC00010;EC000654;EC000639;EC000640;EC000666;EC000668;EC000669"
"Lysine degradation","21","8","6","7.542","0.47014","0.63301","0.05585","100","1","1","1","1","P22","EC000639;EC000640;EC000496;EC000656;EC000290;EC000291;EC000692;EC000332"
"Steroid biosynthesis","40","12","2","1.5998","0.49008","0.83096","0.059289","0","0","1","1","1","P23","EC000658;EC0001044"
"Phosphonate and phosphinate metabolism","4","3","2","1.5998","0.49008","0.83096","0.059289","10","0.1","1","1","1","P24","EC000899;EC000837"
"Amino sugar and nucleotide sugar metabolism","39","28","8","8.2276","0.58042","0.72846","0.078375","3","0.03","1","1","1","P25","EC00018;EC000645;EC000503;EC000504;EC000506;EC000507;EC000256;EC0001073"
"Butanoate metabolism","15","9","4","6.1707","0.58816","0.75729","0.080331","100","1","1","1","1","P26","EC000519;EC000520;EC000262;EC0009;EC00010;EC000614"
"Caffeine metabolism","10","7","2","2.0569","0.63542","0.89852","0.093655","98","0.98","1","1","1","P27","EC000990;EC000992"
"Retinol metabolism","16","14","6","2.0569","0.63542","0.89852","0.093655","0","0","1","1","1","P28","EC000341;EC0001042"
"Fatty acid elongation","28","2","1","0.91418","0.63902","1","0.094777","0","0","1","1","1","P29","EC000745"
"Glyoxylate and dicarboxylate metabolism","31","13","5","5.4851","0.65606","0.82094","0.10033","100","1","1","1","1","P30","EC000295;EC0009;EC00010;EC000142;EC00045"
"Valine, leucine and isoleucine biosynthesis","8","8","6","6.6278","0.66386","0.81303","0.10301","100","1","1","1","1","P31","EC000180;EC000182;EC000184;EC000102;EC000116;EC000160"
"Glutathione metabolism","19","12","4","6.6278","0.66386","0.81303","0.10301","99","0.99","1","1","1","P32","EC000413;EC0009;EC00010;EC000556;EC000590;EC000591"
"Terpenoid backbone biosynthesis","14","8","4","3.4282","0.68987","0.88235","0.11262","2","0.02","1","1","1","P33","EC000296;EC000106;EC000661"
"Fatty acid degradation","35","3","1","1.1427","0.72038","1","0.12544","0","0","1","1","1","P34","EC000745"
"Sulfur metabolism","8","2","1","1.1427","0.72038","1","0.12544","96","0.96","1","1","1","P35","EC00040"
"Histidine metabolism","16","15","10","12.57","0.72431","0.82294","0.12723","100","1","1","1","1","P36","EC0009;EC00010;EC000674;EC000449;EC000109;EC000741;EC000845;EC000287;EC000534;EC000156;EC000850"
"Ascorbate and aldarate metabolism","8","8","3","3.8853","0.77251","0.92188","0.15225","75","0.75","1","1","1","P37","EC00018;EC000629;EC000460"
"Drug metabolism - other enzymes","28","12","3","4.1138","0.80658","0.93661","0.17426","37","0.37","1","1","1","P38","EC000711;EC0001085;EC0001029"
"Primary bile acid biosynthesis","46","20","6","7.7705","0.81166","0.9085","0.17794","0","0","1","1","1","P39","EC000624;EC0001044;EC000725;EC000760;EC000757;EC000593"
"Purine metabolism","70","35","11","13.713","0.82745","0.89749","0.19011","100","1","1","1","1","P40","EC000282;EC00045;EC0004;EC000578;EC000579;EC000409;EC000214;EC00040;EC000552;EC0001088;EC000620"
"Biotin metabolism","4","3","1","1.8284","0.87025","1","0.23047","44","0.44","1","1","1","P41","EC00096"
"Pentose phosphate pathway","23","21","5","7.3134","0.87945","0.95087","0.24099","98","0.98","1","1","1","P42","EC000581;EC00099;EC000270;EC000596;EC000220"
