"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Mono-unsaturated fatty acid beta-oxidation","19","4","4","0.87542","0.0015803","0.026846","0.0054801","0","0","0.1390664","1","0.4822488","P1","EC0001352;EC0001414;EC0001415;EC00018"
"De novo fatty acid biosynthesis","106","17","13","8.7542","0.018223","0.040492","0.0057686","0","0","1","1","0.5018682","P2","EC00018;EC000697;EC000698;EC000700;EC000519;EC0001197;EC0001201;EC000762;EC0001415;EC000812;EC000859;EC000214;EC000707;EC000709"
"Tyrosine metabolism","160","86","49","44.209","0.020648","0.029659","0.005812","100","1","1","1","0.5018682","P3","EC00018;EC0001434;EC0001435;EC000740;EC000657;EC000543;EC00023;EC00024;EC000556;EC0001646;EC000486;EC000342;EC000633;EC000933;EC00054;EC000276;EC000432;EC000434;EC000435;EC0001057;EC0001059;EC00077;EC00064;EC000908;EC00083;EC00084;EC00085;EC0001526;EC000399;EC00059;EC0001052;EC0001056;EC0001623;EC000312;EC0001253;EC0001089;EC000448;EC000703;EC000704;EC000705;EC0001107;EC000771;EC0001067;EC0001069;EC000453;EC000454;EC0001084;EC0001085;EC0001086;EC0001468;EC0001377;EC0001378"
"Di-unsaturated fatty acid beta-oxidation","26","4","3","1.532","0.033096","0.14676","0.0060402","0","0","1","1","0.513417","P4","EC00018;EC0001414;EC000707;EC000709"
"Fructose and mannose metabolism","33","22","6","5.4714","0.045627","0.1062","0.0062794","20","0.2","1","1","0.5274696","P5","EC000623;EC000624;EC000626;EC00032;EC000551;EC000552;EC000553;EC000554;EC000844"
"Tryptophan metabolism","94","55","29","25.825","0.053097","0.079676","0.0064269","100","1","1","1","0.5334327","P6","EC00023;EC00024;EC00018;EC0001103;EC000536;EC0001107;EC000814;EC000815;EC0001111;EC000490;EC000773;EC00075;EC000615;EC000933;EC000675;EC0001098;EC00098;EC0001434;EC0001435;EC0001188;EC0001582;EC0001583;EC0001467;EC000917;EC0001095;EC0001091;EC0001092;EC000597;EC0001102;EC000481;EC000482"
"Polyunsaturated fatty acid biosynthesis","21","1","1","1.0943","0.05773","0.26158","0.0065202","0","0","1","1","0.5346564","P7","EC000697;EC000698;EC000700"
"Arachidonic acid metabolism","95","51","31","7.4411","0.060256","0.12151","0.0065716","0","0","1","1","0.5346564","P8","EC00023;EC00024;EC00018;EC0001306;EC000608;EC000483;EC000971;EC000972;EC000168;EC0001197;EC000214"
"Omega-3 fatty acid metabolism","39","7","6","2.8451","0.098489","0.25059","0.0074058","0","0","1","1","0.592464","P9","EC00018;EC0001349;EC000976;EC0001197;EC0001352"
"Benzoate degradation via CoA ligation","4","2","2","1.3131","0.098652","0.34343","0.0074096","0","0","1","1","0.592464","P10","EC000143;EC000144;EC000826"
"Omega-6 fatty acid metabolism","55","6","3","1.3131","0.098652","0.34343","0.0074096","0","0","1","1","0.592464","P11","EC00018;EC0001508;EC000214"
"Drug metabolism - cytochrome P450","53","32","13","10.943","0.10752","0.18024","0.007619","0","0","1","1","0.592464","P12","EC0001403;EC0001375;EC0001386;EC0001387;EC0001091;EC0001092;EC0001382;EC0001371;EC0001369;EC0001230;EC0001393;EC0001377;EC0001378;EC000998"
"Vitamin A (retinol) metabolism","67","24","12","5.6902","0.12985","0.24921","0.0081745","0","0","1","1","0.621262","P13","EC0001515;EC000762;EC0001501;EC0001404;EC00018;EC000397;EC000971;EC000972"
"Butanoate metabolism","34","20","10","12.256","0.13265","0.21065","0.0082471","100","1","1","1","0.621262","P14","EC00023;EC00024;EC00018;EC0001044;EC0001045;EC0001048;EC000192;EC000853;EC000854;EC000617;EC000618;EC0001164;EC0001167;EC000302;EC000576"
"Carnitine shuttle","72","32","12","8.5354","0.13834","0.23665","0.0083968","0","0","1","1","0.6213632","P15","EC00015;EC0001613;EC0001415;EC0001629;EC0001630;EC0001620;EC00014;EC0001607;EC0001643;EC0001644;EC0001636"
"Fatty acid activation","74","19","10","8.5354","0.13834","0.23665","0.0083968","0","0","1","1","0.6213632","P16","EC0001508;EC00018;EC000519;EC0001415;EC0001197;EC000707;EC000709;EC000697;EC000698;EC000700;EC000859"
"Porphyrin metabolism","43","16","8","7.6599","0.14373","0.2507","0.0085415","0","0","1","1","0.6213632","P17","EC000360;EC000362;EC000364;EC00064;EC0001127;EC000589;EC000636;EC000410;EC000342;EC000400"
"Fatty acid oxidation","35","1","1","0.21886","0.20012","1","0.010226","0","0","1","1","0.726046","P18","EC0001415"
"C21-steroid hormone biosynthesis and metabolism","112","56","17","11.162","0.20405","0.30947","0.010356","0","0","1","1","0.726046","P19","EC0001029;EC0001424;EC000523;EC000524;EC000530;EC0001260;EC000396;EC000797;EC000400;EC0001034;EC000956;EC0001031;EC00054"
"Prostaglandin formation from arachidonate","78","44","22","9.4108","0.22693","0.34904","0.011149","0","0","1","1","0.769281","P20","EC0001545;EC000342;EC0001153;EC000608;EC0001511;EC000483;EC000214;EC00018;EC0001154;EC0001156;EC00064"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","20","10","8.5354","0.23977","0.3719","0.011623","21","0.21","1","1","0.790364","P21","EC000453;EC000454;EC000768;EC0001016;EC0001013;EC00064;EC000169;EC000555;EC000342;EC000716"
"Vitamin B6 (pyridoxine) metabolism","11","6","4","4.8148","0.26686","0.45506","0.012696","100","1","1","1","0.850632","P22","EC000233;EC000235;EC000238;EC000424;EC000276;EC000562"
"Androgen and estrogen biosynthesis and metabolism","95","39","12","7.8788","0.28313","0.43098","0.013393","0","0","1","1","0.883938","P23","EC000797;EC0001002;EC0001034;EC000396;EC0001031;EC0001260;EC00054;EC0001472;EC000956"
"Fatty Acid Metabolism","63","11","4","5.9091","0.28603","0.45906","0.013521","0","0","1","1","0.883938","P24","EC000812;EC000707;EC000709;EC000697;EC000698;EC000700;EC0001610"
"Valine, leucine and isoleucine degradation","65","25","12","10.943","0.28776","0.4125","0.013599","100","1","1","1","0.883938","P25","EC00023;EC00024;EC00018;EC000138;EC000124;EC000192;EC000617;EC000618;EC000215;EC000217;EC000219;EC000302"
"Linoleate metabolism","46","29","15","14.007","0.28778","0.39699","0.0136","0","0","1","1","0.883938","P26","EC0001482;EC000962;EC000964;EC0001484;EC00064;EC000168;EC0001301;EC0001304;EC0001297;EC0001298;EC0001533;EC000976;EC0001197;EC000707;EC000709"
"Lipoate metabolism","8","2","1","1.3131","0.34494","0.73749","0.016446","74","0.74","1","1","1","P27","EC0001464;EC0001465"
"Keratan sulfate degradation","68","5","2","3.2828","0.35207","0.60105","0.016845","13","0.13","1","1","1","P28","EC00054;EC000623;EC000624;EC000626"
"Urea cycle/amino group metabolism","85","39","16","25.387","0.37141","0.45752","0.017982","100","1","1","1","1","P29","EC00023;EC00024;EC000703;EC000704;EC000705;EC000884;EC000885;EC000838;EC000839;EC000950;EC000365;EC000399;EC000302;EC000651;EC000360;EC000362;EC000364;EC000864;EC000673;EC000543;EC000276;EC000335;EC000336;EC0001625;EC0001627"
"Xenobiotics metabolism","110","49","17","13.788","0.37694","0.49684","0.018322","39","0.39","1","1","1","P30","EC0006;EC000803;EC0001315;EC000571;EC000572;EC0001324;EC0001267;EC000849;EC000481;EC000482;EC0001264;EC000812;EC0001186;EC0001187"
"Putative anti-Inflammatory metabolites formation from EPA","27","11","2","2.4074","0.38301","0.67733","0.018704","0","0","1","1","1","P31","EC00023;EC00024;EC000961"
"D4&E4-neuroprostanes formation","37","33","18","2.4074","0.38301","0.67733","0.018704","0","0","1","1","1","P32","EC0001593;EC00064;EC000342"
"Phytanic acid peroxisomal oxidation","34","6","3","2.4074","0.38301","0.67733","0.018704","0","0","1","1","1","P33","EC00018;EC0001352;EC0001415"
"Ubiquinone Biosynthesis","10","7","3","3.5017","0.40236","0.64747","0.019982","98","0.98","1","1","1","P34","EC00018;EC000657;EC000165;EC000166"
"Hexose phosphorylation","20","16","4","5.6902","0.42314","0.61576","0.021465","98","0.98","1","1","1","P35","EC00032;EC000296;EC000551;EC000552;EC000553;EC000554"
"Parathio degradation","6","3","1","1.532","0.42379","0.79006","0.021513","100","1","1","1","1","P36","EC000571;EC000572"
"Caffeine metabolism","11","7","2","1.532","0.42379","0.79006","0.021513","51","0.51","1","1","1","P37","EC0001356;EC0001354"
"CoA Catabolism","7","6","3","2.6263","0.44231","0.72477","0.022942","0","0","1","1","1","P38","EC00018;EC000566;EC000574"
"Biopterin metabolism","22","8","2","3.7205","0.4519","0.68994","0.023724","94","0.94","1","1","1","P39","EC00077;EC00083;EC00084;EC00085"
"Vitamin E metabolism","54","16","3","3.7205","0.4519","0.68994","0.023724","0","0","1","1","1","P40","EC00018;EC000453;EC000454;EC0001509"
"3-oxo-10R-octadecatrienoate beta-oxidation","27","8","2","0.65657","0.48847","1","0.026997","0","0","1","1","1","P41","EC0001528"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","6","3","2.8451","0.49926","0.76619","0.028058","0","0","1","1","1","P42","EC00018;EC000566;EC000574"
"Vitamin B9 (folate) metabolism","33","9","3","3.9394","0.50004","0.72845","0.028137","0","0","1","1","1","P43","EC00023;EC00024;EC000496;EC000382"
"N-Glycan Degradation","16","5","2","3.9394","0.50004","0.72845","0.028137","12","0.12","1","1","1","P44","EC00032;EC000623;EC000624;EC000626"
"Alkaloid biosynthesis II","10","6","2","3.064","0.55311","0.80209","0.03413","97","0.97","1","1","1","P45","EC00018;EC0001282;EC0001283"
"Lysine metabolism","52","19","10","12.037","0.55642","0.68454","0.03455","100","1","1","1","1","P46","EC00023;EC00024;EC00018;EC000388;EC0001037;EC000838;EC000839;EC000605;EC000335;EC000336;EC000915"
"Vitamin H (biotin) metabolism","5","4","2","1.9697","0.56472","0.86578","0.035632","0","0","1","1","1","P47","EC000118;EC00018"
"Glutamate metabolism","15","12","5","8.0976","0.63302","0.77836","0.046226","100","1","1","1","1","P48","EC00023;EC00024;EC000302;EC00059;EC000884;EC000885;EC000498"
