"feature","identified_name","mean_no_severe_pgd","mean_severe_pgd","mean_overall","fold_change","p_value","p_value_fdr","unique_vals_no_severe","unique_vals_severe","unique_vals","unique_percentage","low_detect_likely","isomer","multi_mode_detection","n_no_severe_pgd","n_severe_pgd","sw_p_value","cv","gap_ratio","sig_ord","in_annot","annot_sig","annot_name","sig_ord_annot"
"HILIC_174.1125_69.8","N-ACETYL-L-LEUCINE",16.6190945026159,17.4790991665345,16.7300628463473,1.81504417826712,0.00196492365743263,0.538389082136541,"54/54","8/8","62/62",100,"N",NA,"",54,8,2.22063467227633e-08,0.104248229143391,110.278644810463,1,"Y","Y","Acetylleucine",35
"C18_112.9857_50.6","FORMATE",25.5986605171609,25.391901418717,25.5719819238133,0.866481529609856,0.00572621373749378,0.557976806861227,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.00548776636646124,0.00622194326103529,11.2299010255218,2,"N","N",NA,NA
"C18_115.0402_58.3","Levulinic acid",19.4615989798809,19.794520247485,19.5045565627975,1.25956123986206,0.0070843946475876,0.557976806861227,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.221308444830849,0.0224045296227358,5.78573631867209,3,"Y","Y","α-Ketoisovalerate",61
"HILIC_114.055_75.6","N-ACETYL-L-ALANINE",16.6882372336736,17.6696557597037,16.8148718821937,1.97440578408851,0.00814564681549236,0.557976806861227,"51/54","8/8","59/62",95.2,"N","yes -but different time","",54,8,0.000208577145577267,0.0826799954585932,20.0212172422941,4,"Y","N",NA,NA
"C18_197.0433_58.4","4-METHYL-2-OXO-PENTANOIC ACID",17.2917548179493,17.711795026093,17.345953554484,1.33796484356267,0.0142555817290449,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.170025296578162,0.0309711531809588,16.7483108512857,5,"N","N",NA,NA
"C18_367.056_48.3","2'-DEOXYURIDINE 5'-MONO-PHOS-PHATE",17.3911385229826,17.1669558869461,17.362211731236,0.85607990340353,0.0184417726622089,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.820024470108284,0.0162206103344345,24.2158280071917,6,"Y","Y","dTMP",104
"C18_367.056_48.3","THYMIDINE 5'-MONOPHOSPHATE",17.3911385229826,17.1669558869461,17.362211731236,0.85607990340353,0.0184417726622089,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.820024470108284,0.0162206103344345,24.2158280071917,7,"Y","Y","dTMP",104
"HILIC_118.0863_164.5","Propionylcarnitine",26.9773433540325,27.2470871702139,27.0121490077333,1.20559372767672,0.0258299749330237,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.266096812569654,0.0189080622780856,12.5551796260568,8,"Y","Y","Betaine",132
"HILIC_118.0863_164.5","5-Aminopentanoic acid",26.9773433540325,27.2470871702139,27.0121490077333,1.20559372767672,0.0258299749330237,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.266096812569654,0.0189080622780856,12.5551796260568,9,"Y","Y","Betaine",132
"HILIC_112.0869_189.5","HISTAMINE",14.8551256609878,15.3453741828114,14.9183835347715,1.40468682934304,0.0290912326165535,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.249599717824592,0.0502859878524001,10.0024159902694,10,"N","N",NA,NA
"C18_311.0491_58.4","URIDINE",14.4257656965845,13.8394812073568,14.3501160850712,0.666056058065663,0.0315681818110306,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.000414308582172479,0.066264160007207,43.3831934453005,11,"N","N",NA,NA
"HILIC_180.0866_180.9","D-(+)-GLUCOSAMINE",15.1220873943513,16.2492523216206,15.267528030128,2.1842907828765,0.0343411186647805,0.73633562055358,"48/54","8/8","56/62",90.3,"N","yes","",54,8,2.66422697103972e-09,0.14767032712408,66.3687920432034,12,"Y","Y","Kanosamine",84
"HILIC_180.0866_180.9","D-MANNOSAMINE",15.1220873943513,16.2492523216206,15.267528030128,2.1842907828765,0.0343411186647805,0.73633562055358,"48/54","8/8","56/62",90.3,"N","yes","",54,8,2.66422697103972e-09,0.14767032712408,66.3687920432034,13,"Y","Y","Kanosamine",84
"HILIC_448.3425_68.6","Arachidonoylcarnitine",18.4270697169623,19.0830214873069,18.5117086550713,1.57565509667495,0.0346630970840189,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0234060527879612,0.0555117405033148,23.9771592310908,14,"N","N",NA,NA
"HILIC_110.0601_62.9","2-AMINOPHENOL",16.9900732628155,18.0868431483528,17.1315919577236,2.13875301063276,0.036400991574325,0.73633562055358,"52/54","8/8","60/62",96.8,"N",NA,"",54,8,0.131280859309381,0.106181070081757,14.4345328098954,15,"Y","N",NA,NA
"C18_118.0298_146.2","SALICYLAMIDE",15.7988341120971,16.1918050505906,15.8495400396446,1.31309467430825,0.037382207172512,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,5.12718818192896e-06,0.0407040214219597,45.1538929657106,16,"N","N",NA,NA
"HILIC_166.0863_154.5","1,3-Dihydro-(2H)-indol-2-one",23.728667494311,24.095064518175,23.7759445296483,1.28912934487776,0.0429289830814156,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0180580090055425,0.0204075143390524,44.190557719748,17,"Y","Y","Phenylalanine",179
"HILIC_166.0863_154.5","1,3-Dihydro-(2H)-indol-2-one",23.728667494311,24.095064518175,23.7759445296483,1.28912934487776,0.0429289830814156,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0180580090055425,0.0204075143390524,44.190557719748,18,"Y","Y","Phenylalanine",179
"HILIC_166.0863_154.5","DL-NORMETANEPHRINE",23.728667494311,24.095064518175,23.7759445296483,1.28912934487776,0.0429289830814156,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.0180580090055425,0.0204075143390524,44.190557719748,19,"Y","Y","Phenylalanine",179
"C18_541.3344_164.9","ESTRADIOL-17ALPHA",16.8771108455673,17.6430758909182,16.9759450449675,1.70050711852443,0.0448914215884923,0.73633562055358,"54/54","8/8","62/62",100,"N",NA,"",54,8,0.164701838422645,0.07358763143958,23.8595203940359,20,"N","N",NA,NA
"HILIC_124.0394_76.7","NICOTINATE",16.9449155874772,17.6756736252986,17.0392069471961,1.65951082231443,0.0469141905175163,0.73633562055358,"52/54","8/8","60/62",96.8,"N",NA,"",54,8,6.71843132379268e-06,0.0682025048935585,77.89719060579,21,"Y","N",NA,NA
