"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Fructose and mannose metabolism","33","22","8","2.7946","8.013e-05","0.00045289","0.0052748","0","0","0.00617001","0.03487253","0.4061596","P1","EC000623;EC000624;EC000626;EC000107;EC00032;EC000551;EC000552;EC000553;EC000554;EC000844"
"De novo fatty acid biosynthesis","106","17","10","4.4714","0.00038108","0.0014341","0.0052797","0","0","0.02896208","0.1089916","0.4061596","P2","EC000696;EC000697;EC000698;EC0001197;EC0001201;EC000762;EC0001415;EC000859;EC000214;EC000707;EC000708;EC000709"
"Butanoate metabolism","34","20","8","6.2599","0.0030814","0.0083699","0.0053239","25","0.25","0.231105","0.6277425","0.4061596","P3","EC00027;EC0001044;EC0001045;EC0001048;EC000192;EC000853;EC000854;EC000617;EC000618;EC0001164;EC0001166;EC0001167;EC000576"
"Hexose phosphorylation","20","16","5","2.9064","0.0031413","0.012195","0.0053249","2","0.02","0.2324562","0.90243","0.4061596","P4","EC00032;EC000294;EC000296;EC000172;EC000551;EC000552;EC000553;EC000554"
"Fatty acid activation","74","19","8","4.3596","0.0043497","0.013391","0.0053448","0","0","0.3175281","0.977543","0.4061596","P5","EC0001508;EC0001415;EC0001197;EC000707;EC000708;EC000709;EC000696;EC000697;EC000698;EC000859"
"Polyunsaturated fatty acid biosynthesis","21","1","1","0.55892","0.0089856","0.083537","0.0054219","0","0","0.6469632","1","0.4061596","P6","EC000696;EC000697;EC000698"
"Benzoate degradation via CoA ligation","4","2","2","0.67071","0.01663","0.11713","0.0055517","0","0","1","1","0.4061596","P7","EC000143;EC000144;EC000826"
"Di-unsaturated fatty acid beta-oxidation","26","4","1","0.78249","0.02694","0.15338","0.005732","0","0","1","1","0.4061596","P8","EC000707;EC000708;EC000709"
"Fatty Acid Metabolism","63","11","2","3.0182","0.049999","0.13128","0.006158","0","0","1","1","0.424902","P9","EC000707;EC000708;EC000709;EC000696;EC000697;EC000698"
"Arachidonic acid metabolism","95","51","25","3.8007","0.051258","0.12316","0.0061823","0","0","1","1","0.424902","P10","EC000608;EC000971;EC000168;EC0001479;EC0001197;EC0001514;EC000214"
"Valine, leucine and isoleucine degradation","65","25","10","5.5892","0.061763","0.12715","0.0063883","88","0.88","1","1","0.4280161","P11","EC00027;EC000138;EC000124;EC000192;EC000617;EC000618;EC000215;EC000217;EC000219"
"C21-steroid hormone biosynthesis and metabolism","112","56","16","5.701","0.068658","0.13842","0.0065274","0","0","1","1","0.4308084","P12","EC0001029;EC0001424;EC000524;EC000530;EC0001260;EC000396;EC000797;EC0008;EC000956"
"Fatty acid oxidation","35","1","1","0.11178","0.10222","1","0.0072525","0","0","1","1","0.4714125","P13","EC0001415"
"N-Glycan Degradation","16","5","2","2.0121","0.10337","0.27386","0.007279","0","0","1","1","0.4714125","P14","EC00032;EC000623;EC000624;EC000626"
"Glycerophospholipid metabolism","156","43","11","9.837","0.10584","0.17455","0.0073358","0","0","1","1","0.4714125","P15","EC000168;EC000350;EC000971;EC000736;EC0001197;EC000503;EC000107;EC000707;EC000708;EC000709;EC0001338;EC000214;EC00032"
"Linoleate metabolism","46","29","16","7.1542","0.11011","0.19492","0.0074354","0","0","1","1","0.4714125","P16","EC0001474;EC000962;EC0001246;EC000168;EC0001304;EC0001297;EC0001197;EC000707;EC000708;EC000709"
"Prostaglandin formation from dihomo gama-linoleic acid","11","5","3","0.67071","0.11835","0.47476","0.0076314","0","0","1","1","0.4714125","P17","EC0001514;EC0001479"
"Omega-6 fatty acid metabolism","55","6","2","0.67071","0.11835","0.47476","0.0076314","0","0","1","1","0.4714125","P18","EC0001508;EC000214"
"Androgen and estrogen biosynthesis and metabolism","95","39","10","4.0242","0.15429","0.29978","0.0085536","0","0","1","1","0.5046624","P19","EC000797;EC0001002;EC000396;EC0001260;EC0008;EC000956"
"Galactose metabolism","41","31","9","4.136","0.1695","0.32066","0.0089793","0","0","1","1","0.5207994","P20","EC00032;EC000551;EC000552;EC000553;EC000554;EC000107"
"Keratan sulfate degradation","68","5","1","1.6768","0.19198","0.46016","0.0096506","4","0.04","1","1","0.5500842","P21","EC000623;EC000624;EC000626"
"Biopterin metabolism","22","8","2","1.9003","0.24806","0.52821","0.011574","61","0.61","1","1","0.648144","P22","EC00077;EC00083;EC00085"
"3-oxo-10R-octadecatrienoate beta-oxidation","27","8","2","0.33535","0.27653","1","0.012707","0","0","1","1","0.698885","P23","EC0001528"
"Vitamin D3 (cholecalciferol) metabolism","16","10","3","1.2296","0.31212","0.69346","0.014296","0","0","1","1","0.771984","P24","EC0001578;EC0001406"
"Putative anti-Inflammatory metabolites formation from EPA","27","11","2","1.2296","0.31212","0.69346","0.014296","0","0","1","1","0.771984","P25","EC000961;EC0001597"
"Phytanic acid peroxisomal oxidation","34","6","2","1.2296","0.31212","0.69346","0.014296","0","0","1","1","0.771984","P26","EC00027;EC0001415"
"Mono-unsaturated fatty acid beta-oxidation","19","4","1","0.44714","0.35061","1","0.016265","0","0","1","1","0.829515","P27","EC0001415"
"Carnitine shuttle","72","32","5","4.3596","0.36788","0.57155","0.017244","0","0","1","1","0.8622","P28","EC00015;EC0001415;EC0001629;EC0001630;EC0001607"
"N-Glycan biosynthesis","48","10","3","1.4532","0.38982","0.75298","0.018583","0","0","1","1","0.910567","P29","EC000128;EC00032"
"Omega-3 fatty acid metabolism","39","7","2","1.4532","0.38982","0.75298","0.018583","0","0","1","1","0.910567","P30","EC0001349;EC0001197"
"Leukotriene metabolism","92","23","5","3.5771","0.41675","0.64688","0.020387","0","0","1","1","0.958189","P31","EC0001514;EC000608;EC000214;EC0001572"
"Fatty acid oxidation, peroxisome","28","2","1","0.55892","0.41716","1","0.020416","91","0.91","1","1","0.958189","P32","EC00027"
"Lipoate metabolism","8","2","1","0.67071","0.47692","1","0.025176","90","0.9","1","1","1","P33","EC0001465"
"Porphyrin metabolism","43","16","3","3.9125","0.48781","0.70738","0.026173","1","0.01","1","1","1","P34","EC000360;EC000362;EC000589;EC000410"
"Ubiquinone Biosynthesis","10","7","2","1.7886","0.49826","0.82141","0.027173","97","0.97","1","1","1","P35","EC000166;EC000172"
"Lysine metabolism","52","19","8","6.1481","0.49913","0.6731","0.027257","100","1","1","1","1","P36","EC00027;EC000388;EC0001037;EC000838;EC000605;EC000335"
"Urea cycle/amino group metabolism","85","39","10","12.967","0.53078","0.64754","0.030573","100","1","1","1","1","P37","EC000704;EC000705;EC000884;EC000838;EC000950;EC00027;EC000360;EC000362;EC000864;EC000673;EC000276;EC000335"
"Glycolysis and Gluconeogenesis","49","26","7","3.13","0.55776","0.79511","0.033771","89","0.89","1","1","1","P38","EC000576;EC000107;EC00032"
"Squalene and cholesterol biosynthesis","55","17","3","2.1239","0.59371","0.87097","0.038661","0","0","1","1","1","P39","EC000128;EC000343"
"Starch and Sucrose Metabolism","33","16","4","2.1239","0.59371","0.87097","0.038661","0","0","1","1","1","P40","EC000529;EC00032"
"Tyrosine metabolism","160","86","24","22.58","0.60321","0.68597","0.040091","100","1","1","1","1","P41","EC00027;EC000632;EC000633;EC000788;EC000276;EC000435;EC00077;EC00083;EC00085;EC000172;EC00059;EC0001056;EC000312;EC0001089;EC000704;EC000705;EC0001069;EC0001062;EC0001076;EC0001377"
"Vitamin H (biotin) metabolism","5","4","1","1.0061","0.62204","1","0.043114","0","0","1","1","1","P42","EC000118"
"Propanoate metabolism","31","10","1","2.2357","0.62238","0.88423","0.043171","0","0","1","1","1","P43","EC000617;EC000618"
"Aminosugars metabolism","69","19","2","3.6889","0.67216","0.86481","0.052607","93","0.93","1","1","1","P44","EC000294;EC000296;EC00059"
"Vitamin B6 (pyridoxine) metabolism","11","6","2","2.4593","0.67503","0.90683","0.053224","100","1","1","1","1","P45","EC000238;EC000276"
"Arginine and Proline Metabolism","45","26","8","8.4956","0.67532","0.80307","0.053289","100","1","1","1","1","P46","EC00027;EC000884;EC000838;EC000360;EC000362;EC00059;EC000335"
"Vitamin B1 (thiamin) metabolism","20","7","1","1.2296","0.69577","1","0.057965","71","0.71","1","1","1","P47","EC00027"
"Glycosphingolipid biosynthesis - globoseries","16","6","1","1.2296","0.69577","1","0.057965","3","0.03","1","1","1","P48","EC00032"
"CoA Catabolism","7","6","1","1.3414","0.72708","1","0.066174","6","0.06","1","1","1","P49","EC000566"
"Glutamate metabolism","15","12","3","4.136","0.747","0.9042","0.072185","100","1","1","1","1","P50","EC00027;EC00059;EC000884"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","6","1","1.4532","0.75518","1","0.074858","4","0.04","1","1","1","P51","EC000566"
