"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Vitamin D3 (cholecalciferol) metabolism","16","10","10","12.03","1","1","1","100","1","1","1","1","P1","EC0001521;EC0001578;EC0001579;EC000718;EC0001409;EC0001410;EC0001469;EC0001470;EC0001406;EC0001407;EC0001408"
"Hyaluronan Metabolism","8","5","5","9.8424","1","1","1","100","1","1","1","1","P2","EC000420;EC000135;EC000136;EC000137;EC00044;EC000175;EC000176;EC000205;EC000206"
"N-Glycan biosynthesis","48","10","10","14.217","1","1","1","100","1","1","1","1","P3","EC000128;EC000469;EC000470;EC000668;EC00052;EC00030;EC00031;EC00032;EC00033;EC00034;EC00035;EC00088;EC00044"
"Glycolysis and Gluconeogenesis","49","26","26","30.621","1","1","1","100","1","1","1","1","P4","EC000155;EC00036;EC00037;EC00038;EC000575;EC000576;EC000577;EC000310;EC00088;EC000989;EC00021;EC00022;EC00018;EC000221;EC000107;EC000108;EC000109;EC000110;EC000111;EC00031;EC00032;EC00033;EC00034;EC00035;EC000228;EC000229;EC000193;EC000194"
"Glycosphingolipid biosynthesis - ganglioseries","62","6","6","8.7488","1","1","1","100","1","1","1","1","P5","EC00033;EC00034;EC00035;EC00052;EC00030;EC000136;EC000137;EC00044"
"C5-Branched dibasic acid metabolism","10","3","3","6.5616","1","1","1","100","1","1","1","1","P6","EC00021;EC00022;EC000404;EC000405;EC000406;EC000407"
"Pyruvate Metabolism","20","8","8","15.31","1","1","1","100","1","1","1","1","P7","EC000155;EC000193;EC000194;EC00021;EC00022;EC00036;EC00037;EC00038;EC00051;EC000107;EC000108;EC000109;EC000110;EC000111"
"Sialic acid metabolism","107","24","24","31.714","1","1","1","100","1","1","1","1","P8","EC000135;EC000136;EC000137;EC0001008;EC0001009;EC0001010;EC000827;EC000828;EC00033;EC00034;EC00035;EC000521;EC000522;EC00031;EC00032;EC00088;EC000970;EC00089;EC00090;EC000719;EC000720;EC000721;EC00062;EC00063;EC000207;EC0001116;EC0001117;EC00052;EC000663"
"Chondroitin sulfate degradation","37","6","6","14.217","1","1","1","100","1","1","1","1","P9","EC00033;EC00034;EC00035;EC000205;EC000206;EC00053;EC00054;EC00055;EC000136;EC000137;EC000119;EC000120;EC000121"
"Di-unsaturated fatty acid beta-oxidation","26","4","4","7.6552","1","1","1","100","1","1","1","1","P10","EC00018;EC0001477;EC0001414;EC000706;EC000707;EC000708;EC000709"
"Putative anti-Inflammatory metabolites formation from EPA","27","11","11","12.03","1","1","1","100","1","1","1","1","P11","EC00023;EC00024;EC00025;EC00026;EC0001452;EC0001599;EC000961;EC00051;EC0001596;EC0001597;EC0001598"
"Linoleate metabolism","46","29","29","69.991","1","1","1","100","1","1","1","1","P12","EC000126;EC000127;EC0001455;EC0001456;EC0001457;EC0001458;EC000942;EC0001473;EC0001474;EC0001475;EC0001476;EC0001446;EC0001447;EC0001480;EC0001481;EC0001482;EC0001483;EC000962;EC000963;EC000964;EC000965;EC0001243;EC0001244;EC0001245;EC0001246;EC0001247;EC0001571;EC00051;EC0001484;EC0001485;EC0001486;EC00064;EC00065;EC00066;EC00067;EC000168;EC0001301;EC0001302;EC0001303;EC0001304;EC0001295;EC0001296;EC0001297;EC0001298;EC0001299;EC0001300;EC0001533;EC000976;EC0001535;EC000974;EC000975;EC000977;EC0001197;EC0001198;EC0001199;EC000706;EC000707;EC000708;EC000709;EC000175;EC000176;EC000710;EC000711;EC000712"
"Hexose phosphorylation","20","16","16","28.434","1","1","1","100","1","1","1","1","P13","EC00031;EC00032;EC00033;EC00034;EC00035;EC0001139;EC0001140;EC000294;EC000295;EC000296;EC000297;EC000298;EC00088;EC000129;EC00089;EC00090;EC000170;EC000171;EC000172;EC000173;EC000174;EC000551;EC000552;EC000553;EC000554;EC000306"
"Vitamin B2 (riboflavin) metabolism","8","3","3","7.6552","1","1","1","100","1","1","1","1","P14","EC00018;EC000242;EC000243;EC000244;EC000245;EC000741;EC000742"
"Squalene and cholesterol biosynthesis","55","17","17","20.778","1","1","1","100","1","1","1","1","P15","EC000304;EC000128;EC000196;EC000983;EC000343;EC000344;EC000345;EC000346;EC000347;EC000308;EC000309;EC000880;EC000652;EC000307;EC000102;EC000103;EC000104;EC000105;EC000106"
"Galactose metabolism","41","31","31","40.463","1","1","1","100","1","1","1","1","P16","EC00033;EC00034;EC00035;EC00088;EC000135;EC000136;EC000137;EC00030;EC00089;EC00090;EC0001008;EC0001009;EC0001010;EC000408;EC000666;EC000193;EC000194;EC000207;EC000310;EC00031;EC00032;EC000551;EC000552;EC000553;EC000554;EC000107;EC000108;EC000109;EC000110;EC000111;EC000521;EC000522;EC000462;EC000463;EC000464;EC000465;EC000466"
"Keratan sulfate degradation","68","5","5","16.404","1","1","1","100","1","1","1","1","P17","EC00033;EC00034;EC00035;EC000135;EC000136;EC000137;EC00053;EC00054;EC00055;EC000623;EC000624;EC000625;EC000626;EC000627;EC00044"
"Carnitine shuttle","72","32","32","42.651","1","1","1","100","1","1","1","1","P18","EC0001632;EC0001633;EC0001634;EC0001635;EC0001637;EC0001612;EC0001624;EC0001638;EC00015;EC00016;EC0001411;EC0001412;EC0001613;EC0001415;EC000845;EC00011;EC0001628;EC0001629;EC0001630;EC0001631;EC0001620;EC0001639;EC0001640;EC0001619;EC0001618;EC000281;EC000282;EC00014;EC0001607;EC0001605;EC0001606;EC0001643;EC0001644;EC0001636;EC0001608;EC0001609;EC0001614;EC0001615;EC0001616"
"3-oxo-10R-octadecatrienoate beta-oxidation","27","8","8","3.2808","1","1","1","100","1","1","1","1","P19","EC0001528;EC0001529;EC0001530"
"Alkaloid biosynthesis II","10","6","6","15.31","1","1","1","100","1","1","1","1","P20","EC00018;EC000717;EC000687;EC000688;EC000689;EC0001180;EC0001281;EC0001282;EC0001283;EC0001284;EC0001285;EC000186;EC000187;EC000188"
"Vitamin B1 (thiamin) metabolism","20","7","7","12.03","1","1","1","100","1","1","1","1","P21","EC00018;EC000287;EC000288;EC000989;EC00021;EC00022;EC000320;EC00027;EC00028;EC00029;EC0001007"
"Glycosphingolipid biosynthesis - globoseries","16","6","6","12.03","1","1","1","100","1","1","1","1","P22","EC00052;EC00030;EC00031;EC00032;EC00033;EC00034;EC00035;EC000136;EC000137;EC000970;EC00044"
"Histidine metabolism","33","22","22","69.991","1","1","1","100","1","1","1","1","P23","EC00023;EC00024;EC00025;EC00026;EC00027;EC00028;EC00029;EC00019;EC00020;EC00018;EC0001603;EC000893;EC000894;EC000895;EC000896;EC000897;EC000990;EC000991;EC000373;EC000374;EC000375;EC000538;EC000539;EC000540;EC000541;EC000542;EC00039;EC00040;EC00041;EC00051;EC000495;EC000496;EC0001132;EC0001133;EC0001134;EC0001135;EC00017;EC000130;EC000131;EC000132;EC000133;EC000134;EC000180;EC000181;EC000182;EC000183;EC000184;EC000185;EC0001129;EC0001130;EC0001131;EC0001459;EC000992;EC000993;EC000994;EC000995;EC000996;EC000331;EC000332;EC00021;EC00022;EC000328;EC000329;EC000330"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","6","6","14.217","1","1","1","100","1","1","1","1","P24","EC00018;EC000930;EC000931;EC000565;EC000566;EC000567;EC000568;EC000569;EC000570;EC000648;EC000558;EC000559;EC000574"
"Glycosylphosphatidylinositol(GPI)-anchor biosynthesis","6","1","1","1.0936","1","1","1","100","1","1","1","1","P25","EC00088"
"Glycosphingolipid biosynthesis - lactoseries","14","3","3","3.2808","1","1","1","100","1","1","1","1","P26","EC00052;EC00030;EC00044"
"Bile acid biosynthesis","82","33","33","41.557","1","1","1","100","1","1","1","1","P27","EC0001021;EC0001022;EC0001421;EC0001422;EC0001017;EC000987;EC000988;EC000966;EC000967;EC000968;EC000969;EC000682;EC000753;EC000754;EC000755;EC0001018;EC0001019;EC0001020;EC000924;EC00018;EC000718;EC000511;EC000512;EC000513;EC000514;EC000515;EC0001406;EC0001407;EC0001408;EC000223;EC000224;EC000225;EC000226;EC0001409;EC0001410;EC000794;EC000795;EC000196"
"Parathio degradation","6","3","3","7.6552","1","1","1","100","1","1","1","1","P28","EC0001207;EC0001204;EC0001205;EC0001206;EC000571;EC000572;EC000573"
"Propanoate metabolism","31","10","10","21.872","1","1","1","100","1","1","1","1","P29","EC00018;EC000102;EC000103;EC000104;EC000105;EC000106;EC00036;EC00037;EC00038;EC0001161;EC000617;EC000618;EC000619;EC000620;EC000940;EC000941;EC000193;EC000194;EC00021;EC00022"
"Blood Group Biosynthesis","44","4","4","3.2808","1","1","1","100","1","1","1","1","P30","EC00052;EC00030;EC00044"
"Electron transport chain","7","1","1","1.0936","1","1","1","100","1","1","1","1","P31","EC000333"
"Vitamin H (biotin) metabolism","5","4","4","9.8424","1","1","1","100","1","1","1","1","P32","EC000115;EC000116;EC000117;EC000118;EC00045;EC00046;EC00047;EC0001050;EC00018"
"Biopterin metabolism","22","8","8","18.591","1","1","1","100","1","1","1","1","P33","EC000142;EC000428;EC000253;EC000254;EC000981;EC0001489;EC00077;EC00078;EC00079;EC00080;EC00081;EC00082;EC00083;EC00084;EC00085;EC00086;EC00087"
"Vitamin E metabolism","54","16","16","18.591","1","1","1","100","1","1","1","1","P34","EC00018;EC0001564;EC0001516;EC0001224;EC000787;EC000453;EC000454;EC000455;EC000456;EC000457;EC0001594;EC0001595;EC0001577;EC0001563;EC0001552;EC0001437;EC0001509"
"Androgen and estrogen biosynthesis and metabolism","95","39","39","39.37","1","1","1","100","1","1","1","1","P35","EC00019;EC00020;EC0001003;EC000427;EC000796;EC000797;EC000997;EC0001002;EC00017;EC000175;EC000176;EC0001034;EC000396;EC0001030;EC0001031;EC0001032;EC0001033;EC00013;EC0001256;EC0001259;EC0001260;EC0001257;EC0001258;EC0007;EC0008;EC0001261;EC00051;EC00053;EC00054;EC00055;EC0009;EC00010;EC0001471;EC0001472;EC000956;EC000957"
"Glycine, serine, alanine and threonine metabolism","88","39","39","89.675","1","1","1","100","1","1","1","1","P36","EC00023;EC00024;EC00025;EC00026;EC00027;EC00028;EC00029;EC00019;EC00020;EC00018;EC00021;EC00022;EC000142;EC000300;EC000301;EC000302;EC00056;EC00057;EC00017;EC0001448;EC0001449;EC0001450;EC0001428;EC000189;EC000190;EC000191;EC000192;EC000193;EC000194;EC000247;EC000248;EC000249;EC000376;EC000377;EC000378;EC000379;EC000621;EC000270;EC000271;EC000272;EC00068;EC00069;EC00070;EC00071;EC000360;EC000361;EC000362;EC000363;EC000364;EC00072;EC00073;EC00074;EC000228;EC000229;EC0001168;EC0001510;EC000177;EC00012;EC000440;EC000441;EC00062;EC00063;EC000102;EC000103;EC000104;EC000105;EC000106;EC000690;EC000691;EC000197;EC000198;EC000199;EC000200;EC000201;EC000202;EC000771;EC000772;EC00051;EC000776;EC00039;EC00040;EC00041"
