Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
331.0522,C00003,M-2H[2-],60.4,0.00102646677004259,EC0001
725.0648,C00006,M-H2O-H[-],174.7,0.000623533230054818,EC0002
759.0709,C00006,M-H+O[-],177.5,3.35332299528091e-05,EC0002
759.0737,C00006,M-H+O[-],172.5,0.00276646677002645,EC0002
779.0528,C00006,M+Cl[-],168.4,0.000600000000076761,EC0002
397.1314,C00019,M-H[-],136.7,0.00147646676998647,EC0003
348.0705,C00020,M+H[1+],262.3,0.000123533229952955,EC0004
204.0592,C00021,M+H+Na[2+],174.8,0.000123533229981376,EC0005
384.1201,C00021,M[1+],175.2,0.00150000000002137,EC0005
385.1286,C00021,M+H[1+],174.4,0.000276466770003481,EC0005
385.1301,C00021,M+H[1+],67.5,0.00122353323001789,EC0006
386.1326,C00021,M(C13)+H[1+],174.6,0.000323533230016437,EC0005
407.1106,C00021,M+Na[1+],175.3,0.000276466770060324,EC0005
463.0385,C00021,M+Br[-],175.2,0.00139999999998963,EC0005
87.0084,C00022,M-H[-],141.8,0.000323533230016437,EC0007
87.0089,C00022,M-H[-],49.7,0.00017646676998595,EC0008
88.0123,C00022,M(C13)-H[-],50.1,0.00017646676998595,EC0008
102.055,C00025,M-HCOOH+H[1+],184.5,7.64667699826305e-05,EC0009
120.0655,C00025,M-CO+H[1+],183.9,2.35332300064783e-05,EC0009
128.0354,C00025,M-H2O-H[-],209.8,7.6466770025263e-05,EC00010
130.0499,C00025,M-H2O+H[1+],77.9,2.35332300064783e-05,EC00011
130.04997,C00025,M-H2O+H[1+],188.4,9.35332300002756e-05,EC0009
146.0459,C00025,M-H[-],184.2,2.35332300064783e-05,EC0009
146.04595,C00025,M-H[-],58.3,2.64667700093923e-05,EC00012
148.0438,C00025,M(Cl37)-H[-],58.1,0.000676466770016759,EC00012
148.0604,C00025,M+H[1+],185.7,7.6466770025263e-05,EC0009
167.021,C00025,M+Na-2H[-],53,0.0003529335399719,EC00012
129.0183,C00026,M-H2O+H[1+],50.4,0.000123533230009798,EC00013
145.0143,C00026,M-H[-],88.4,7.64667699968413e-05,EC00014
145.01437,C00026,M-H[-],199.2,0.00014646677001906,EC00015
547.0388,C00029,M-H2O-H[-],176.1,0.00167646677004996,EC00016
565.0485,C00029,M-H[-],174.2,0.000776466770048501,EC00016
567.0447,C00029,M(Cl37)-H[-],176.8,0.000223533229927853,EC00016
567.0447,C00029,M(S34)-H[-],176.8,0.00117646677006178,EC00016
161.0455,C00031,M-H2O-H[-],101.1,2.35332299780566e-05,EC00017
163.0601,C00031,M-H2O+H[1+],193.7,2.35332300064783e-05,EC00018
179.056,C00031,M-H[-],50.1,0.000123533229981376,EC00019
180.0595,C00031,M(C13)-H[-],49.2,2.35332299780566e-05,EC00019
195.0506,C00031,M-H+O[-],112.7,0.000433533229994509,EC00017
203.0526,C00031,M+Na[1+],171.9,7.64667699968413e-05,EC00020
220.0823,C00031,M+ACN-H[-],53.5,0.000368533229988088,EC00019
89.0245,C00031,M-2H[2-],180.3,7.64667699968413e-05,EC00021
89.02458,C00031,M-2H[2-],50.3,0.000156466769993813,EC00019
112.9877,C00036,M-H2O-H[-],157.6,0.000323533230002226,EC00022
112.9881,C00036,M-H2O-H[-],47.8,7.64667699968413e-05,EC00023
112.9882,C00036,M-H2O-H[-],238.2,0.000176466770000161,EC00024
146.9934,C00036,M-H+O[-],257.5,0.00013353322998455,EC00024
88.0404,C00041,M-H[-],52.6,2.35332300064783e-05,EC00025
88.04041,C00041,M-H[-],155.1,1.35332300175151e-05,EC00026
90.055,C00041,M+H[1+],178.9,2.35332300064783e-05,EC00027
91.0583,C00041,M(C13)+H[1+],179.2,7.64667699968413e-05,EC00027
117.0194,C00042,M-H[-],179.5,7.64667699968413e-05,EC00028
99.0088,C00042,M-H2O-H[-],55.8,7.64667699826305e-05,EC00029
103.123,C00047,M-CO2+H[1+],186.8,2.35332300064783e-05,EC00030
111.0917,C00047,M-H4O2+H[1+],186,0.000123533229995587,EC00030
129.1022,C00047,M-H2O+H[1+],179.8,2.35332300064783e-05,EC00031
129.1023,C00047,M-H2O+H[1+],102.9,0.000123533230009798,EC00032
130.0863,C00047,M-NH3+H[1+],196.9,2.35332299780566e-05,EC00030
147.1128,C00047,M+H[1+],191.3,2.35332299780566e-05,EC00030
148.1161,C00047,M(C13)+H[1+],190.1,7.6466770025263e-05,EC00030
182.04597,C00047,M+K-2H[-],200.7,0.000477066460007336,EC00030
106.0499,C00049,M-CO+H[1+],190,0.000123533230009798,EC00033
116.0342,C00049,M-H2O+H[1+],191.2,2.35332300064783e-05,EC00033
132.0302,C00049,M-H[-],88.2,2.35332299780566e-05,EC00034
132.03028,C00049,M-H[-],14.4,5.64667700189148e-05,EC00035
218.007,C00049,M+HCOOK[1+],93.8,0.000923533230007934,EC00034
88.0393,C00049,M-HCOOH+H[1+],190,7.64667699826305e-05,EC00033
280.09662,C00051,M-CO+H[1+],140.4,0.000543533229972581,EC00036
288.0668,C00051,M-H2O-H[-],140.3,0.000876466770023399,EC00036
547.0388,C00052,M-H2O-H[-],176.1,0.00167646677004996,EC00016
565.0485,C00052,M-H[-],174.2,0.000776466770048501,EC00016
567.0447,C00052,M(Cl37)-H[-],176.8,0.000223533229927853,EC00016
567.0447,C00052,M(S34)-H[-],176.8,0.00117646677006178,EC00016
324.0591,C00055,M+H[1+],108.6,7.64667699968413e-05,EC00037
137.9866,C00059,M+ACN-H[-],217.2,6.85332299781294e-05,EC00038
166.9628,C00059,M+HCOONa[1+],215.4,0.000723533230001294,EC00038
96.9601,C00059,M-H[-],76.9,2.35332300064783e-05,EC00039
96.96011,C00059,M-H[-],6.8,1.35332300033042e-05,EC00040
96.9602,C00059,M-H[-],217.7,7.64667699968413e-05,EC00038
98.9558,C00059,M(S34)-H[-],7.6,0.000123533230009798,EC00040
173.1043,C00062,M-H[-],52.4,0.000123533230009798,EC00041
175.1189,C00062,M+H[1+],196.2,7.6466770025263e-05,EC00042
176.1223,C00062,M(C13)+H[1+],196.7,7.6466770025263e-05,EC00042
197.1009,C00062,M+Na[1+],196.7,7.6466770025263e-05,EC00042
101.071,C00064,M-HCOOH+H[1+],187.9,2.35332300206892e-05,EC00043
127.0514,C00064,M-H2O-H[-],50,0.000176466770014372,EC00044
129.0659,C00064,M-H2O+H[1+],78.4,0.000123533230009798,EC00045
129.06599,C00064,M-H2O+H[1+],180.8,0.000213533230009944,EC00046
130.0499,C00064,M-NH3+H[1+],77.9,2.35332300064783e-05,EC00045
130.04997,C00064,M-NH3+H[1+],188.4,9.35332300002756e-05,EC00043
145.0619,C00064,M-H[-],49.5,7.6466770025263e-05,EC00044
146.0653,C00064,M(C13)-H[-],49.2,7.6466770025263e-05,EC00044
147.0766,C00064,M+H[1+],187.9,0.000223533230013118,EC00043
147.07667,C00064,M+H[1+],78,0.000293533230006915,EC00045
169.0584,C00064,M+Na[1+],188,2.35332300064783e-05,EC00043
185.0323,C00064,M+K[1+],188.2,0.000423533229991335,EC00043
106.0499,C00065,M+H[1+],190,2.35332300064783e-05,EC00047
88.0393,C00065,M-H2O+H[1+],190,2.35332300064783e-05,EC00047
88.03936,C00065,M-H2O+H[1+],58,8.35332300113123e-05,EC00048
104.0529,C00073,M-HCOOH+H[1+],164,7.64667699826305e-05,EC00049
106.06842,C00073,M-CO2+H[1+],163.2,0.000156466769979602,EC00049
132.0474,C00073,M-H2O+H[1+],138.4,0.000376466769978379,EC00050
132.0478,C00073,M-H2O+H[1+],89.7,2.35332300064783e-05,EC00051
133.0318,C00073,M-NH3+H[1+],163.7,7.64667699968413e-05,EC00049
148.0438,C00073,M-H[-],58.1,2.35332299780566e-05,EC00052
150.0584,C00073,M+H[1+],163.8,2.35332300064783e-05,EC00049
150.05844,C00073,M+H[1+],89.2,6.35332299907532e-05,EC00051
151.0613,C00073,M(C13)+H[1+],160.5,0.00047646677001012,EC00049
172.0403,C00073,M+Na[1+],91.8,7.64667699968413e-05,EC00051
115.0867,C00077,M-H2O+H[1+],162,0.000123533229995587,EC00053
131.0827,C00077,M-H[-],51.1,7.64667699968413e-05,EC00054
133.0972,C00077,M+H[1+],193.2,2.35332299780566e-05,EC00055
168.0302,C00077,M+K-2H[-],156.1,0.000647066460004453,EC00053
168.030211,C00077,M+K-2H[-],189.9,0.000636066460003804,EC00055
159.0917,C00078,M-HCOOH+H[1+],61.6,7.64667699968413e-05,EC00056
159.0918,C00078,M-HCOOH+H[1+],154.9,2.35332300064783e-05,EC00057
169.0756,C00078,M-H4O2+H[1+],155.8,0.0003764667700068,EC00057
187.0866,C00078,M-H2O+H[1+],61.8,2.35332300064783e-05,EC00056
188.0707,C00078,M-NH3+H[1+],155,2.35332299780566e-05,EC00057
203.0826,C00078,M-H[-],59.1,2.35332299780566e-05,EC00056
204.08586,C00078,M(C13)-H[-],59.6,0.000163533229994073,EC00056
205.0972,C00078,M+H[1+],154.9,2.35332299780566e-05,EC00057
205.09724,C00078,M+H[1+],61.3,6.35332299907532e-05,EC00056
206.1008,C00078,M(C13)+H[1+],154.8,0.000223533229984696,EC00057
219.0772,C00078,M-H+O[-],58.7,0.00033353322999119,EC00056
227.0792,C00078,M+Na[1+],156.2,2.35332299780566e-05,EC00057
243.0532,C00078,M+K[1+],156.9,0.000523533229994655,EC00057
249.0877,C00078,M+HCOO[-],58.7,0.000155000000006567,EC00056
263.1033,C00078,M+CH3COO[-],58.2,0.000105000000019118,EC00056
120.0808,C00079,M-HCOOH+H[1+],155.1,7.64667699968413e-05,EC00058
130.0652,C00079,M-H4O2+H[1+],155.3,0.000123533229981376,EC00058
130.06521,C00079,M-H4O2+H[1+],61.3,0.00013353322998455,EC00059
146.0611,C00079,M-H2O-H[-],184.1,2.35332299780566e-05,EC00060
146.0612,C00079,M-H2O-H[-],58.4,7.6466770025263e-05,EC00059
148.0757,C00079,M-H2O+H[1+],153.3,2.35332300064783e-05,EC00058
148.07576,C00079,M-H2O+H[1+],51,8.35332299971014e-05,EC00061
149.0597,C00079,M-NH3+H[1+],57.8,7.6466770025263e-05,EC00059
149.0598,C00079,M-NH3+H[1+],154.6,2.35332299780566e-05,EC00058
164.0716,C00079,M-H[-],129.2,0.000123533230009798,EC00062
164.0718,C00079,M-H[-],58.4,7.64667699968413e-05,EC00059
165.0753,C00079,M(C13)-H[-],57.7,0.000176466770000161,EC00059
166.0863,C00079,M+H[1+],154.5,2.35332299780566e-05,EC00058
167.0896,C00079,M(C13)+H[1+],154.3,7.6466770025263e-05,EC00058
180.0665,C00079,M-H+O[-],126.2,0.000133533230012972,EC00062
180.0666,C00079,M-H+O[-],58,3.35332300096525e-05,EC00059
94.0652,C00079,M-C3H4O2+H[1+],156.2,2.35332300064783e-05,EC00058
110.06,C00082,M-C3H4O2+H[1+],279.2,7.64667699968413e-05,EC00063
110.0601,C00082,M-C3H4O2+H[1+],62.9,2.35332300064783e-05,EC00064
110.06019,C00082,M-C3H4O2+H[1+],154.6,0.000113533230006624,EC00065
136.0757,C00082,M-HCOOH+H[1+],292.8,7.64667699968413e-05,EC00063
136.07587,C00082,M-HCOOH+H[1+],163.9,9.35332300002756e-05,EC00066
138.0914,C00082,M-CO2+H[1+],144.6,2.35332299780566e-05,EC00065
146.0601,C00082,M-H4O2+H[1+],155,0.000123533229981376,EC00065
146.06017,C00082,M-H4O2+H[1+],112,0.000193533229975174,EC00067
154.0862,C00082,M-CO+H[1+],147.6,2.35332299780566e-05,EC00065
154.0863,C00082,M-CO+H[1+],70.7,0.000123533229981376,EC00064
164.0704,C00082,M-H2O+H[1+],152.2,0.000176466770000161,EC00065
164.0706,C00082,M-H2O+H[1+],277.5,2.35332300064783e-05,EC00063
164.0707,C00082,M-H2O+H[1+],60.2,0.000123533229981376,EC00064
165.0546,C00082,M-NH3+H[1+],289.4,7.6466770025263e-05,EC00063
165.05469,C00082,M-NH3+H[1+],168.8,1.35332299748825e-05,EC00066
180.0665,C00082,M-H[-],126.2,0.000123533230009798,EC00067
180.0666,C00082,M-H[-],58,2.35332300064783e-05,EC00064
182.0805,C00082,M+H[1+],166.8,0.000676466770016759,EC00066
182.0808,C00082,M+H[1+],67.7,0.0003764667700068,EC00064
182.0811,C00082,M+H[1+],288.4,7.6466770025263e-05,EC00063
183.0838,C00082,M(C13)+H[1+],165.9,0.000776466770020079,EC00066
200.0916,C00082,M+H2O+H[1+],279.1,0.000176466770028583,EC00063
200.0918,C00082,M+H2O+H[1+],110.8,2.35332299780566e-05,EC00067
204.0624,C00082,M+Na[1+],285.8,0.000776466770020079,EC00063
204.0625,C00082,M+Na[1+],214.7,0.000676466770016759,EC00068
204.0632,C00082,M+Na[1+],64,2.35332299780566e-05,EC00064
129.0081,C00085,M-2H[2-],49.7,0.000526466770025991,EC00069
275.135,C00089,M-HCOONa+H[1+],130.1,0.00107646677003004,EC00070
315.1277,C00089,M-CO+H[1+],188.2,0.000776466769991657,EC00071
325.1128,C00089,M-H2O+H[1+],194.2,7.64667699968413e-05,EC00071
341.1081,C00089,M-H[-],112.5,0.000823533230004614,EC00070
365.1053,C00089,M+Na[1+],189.1,0.000176466770028583,EC00071
381.0796,C00089,M+K[1+],188.5,0.000623533230054818,EC00071
387.1133,C00089,M+HCOO[-],118.8,0.000545000000045093,EC00070
129.0081,C00092,M-2H[2-],49.7,0.000526466770025991,EC00069
173.0218,C00093,M+H[1+],289.3,0.000823533230004614,EC00072
161.0455,C00095,M-H2O-H[-],101.1,2.35332299780566e-05,EC00017
163.0601,C00095,M-H2O+H[1+],193.7,2.35332300064783e-05,EC00018
179.056,C00095,M-H[-],50.1,0.000123533229981376,EC00019
180.0595,C00095,M(C13)-H[-],49.2,2.35332299780566e-05,EC00019
195.0506,C00095,M-H+O[-],112.7,0.000433533229994509,EC00017
203.0526,C00095,M+Na[1+],171.9,7.64667699968413e-05,EC00020
220.0823,C00095,M+ACN-H[-],53.5,0.000368533229988088,EC00019
89.0245,C00095,M-2H[2-],180.3,7.64667699968413e-05,EC00021
89.02458,C00095,M-2H[2-],50.3,0.000156466769993813,EC00019
88.0404,C00099,M-H[-],52.6,2.35332300064783e-05,EC00025
88.04041,C00099,M-H[-],155.1,1.35332300175151e-05,EC00026
90.055,C00099,M+H[1+],178.9,2.35332300064783e-05,EC00027
91.0583,C00099,M(C13)+H[1+],179.2,7.64667699968413e-05,EC00027
129.0081,C00103,M-2H[2-],49.7,0.000526466770025991,EC00069
111.02,C00106,M-H[-],20.4,2.35332300064783e-05,EC00073
113.0345,C00106,M+H[1+],274.2,7.64667699968413e-05,EC00074
113.03458,C00106,M+H[1+],116.6,3.53323001434092e-06,EC00075
113.0346,C00106,M+H[1+],10.8,2.35332300064783e-05,EC00073
152.0467,C00106,M+ACN-H[-],12.8,0.000131466770000088,EC00073
93.0096,C00106,M-H2O-H[-],251.4,0.000176466770000161,EC00074
95.024,C00106,M-H2O+H[1+],115.2,2.35332300064783e-05,EC00075
110.0601,C00108,M-CO+H[1+],62.9,0.000123533230024009,EC00076
110.06019,C00108,M-CO+H[1+],154.6,0.000213533230024154,EC00077
118.0298,C00108,M-H2O-H[-],146.2,2.35332300064783e-05,EC00078
118.02983,C00108,M-H2O-H[-],17.1,6.46677000304408e-06,EC00079
120.0445,C00108,M-H2O+H[1+],156.7,0.000123533230009798,EC00077
121.0284,C00108,M-NH3+H[1+],63.7,7.64667699826305e-05,EC00076
136.0404,C00108,M-H[-],141.9,2.35332299780566e-05,EC00078
138.055,C00108,M+H[1+],62.4,2.35332300064783e-05,EC00076
138.0555,C00108,M+H[1+],162.5,0.000523533229994655,EC00077
139.0583,C00108,M(C13)+H[1+],68.6,7.64667699968413e-05,EC00076
139.0584,C00108,M(C13)+H[1+],164.6,2.35332300064783e-05,EC00077
152.0354,C00108,M-H+O[-],160.4,6.64667700220889e-05,EC00077
160.0369,C00108,M+Na[1+],168.2,7.64667699968413e-05,EC00077
176.0109,C00108,M+K[1+],167.1,0.000423533229991335,EC00077
182.0459,C00108,M+HCOO[-],58.7,0.000554999999991423,EC00076
94.0652,C00108,M-CO2+H[1+],156.2,2.35332300206892e-05,EC00077
101.0245,C00109,M-H[-],134,7.64667699968413e-05,EC00080
101.02454,C00109,M-H[-],49.5,0.000116466769995327,EC00081
103.039,C00109,M+H[1+],73.9,2.35332300064783e-05,EC00082
103.0394,C00109,M+H[1+],158.1,0.000423533230005546,EC00083
104.0424,C00109,M(C13)+H[1+],158.1,2.35332300064783e-05,EC00083
104.04244,C00109,M(C13)+H[1+],74.5,6.3533230004964e-05,EC00082
117.0194,C00109,M-H+O[-],179.5,6.64667699936672e-05,EC00084
125.0209,C00109,M+Na[1+],174.2,7.64667699968413e-05,EC00084
85.0284,C00109,M-H2O+H[1+],158.2,2.35332300064783e-05,EC00083
152.9949,C00111,M-H2O+H[1+],293.5,0.000223533230013118,EC00085
152.99492,C00111,M-H2O+H[1+],202.6,0.000243533230019466,EC00086
153.9789,C00111,M-NH3+H[1+],295,0.000123533230009798,EC00085
170.9875,C00111,M(Cl37)-H[-],147.6,0.000423533229962914,EC00087
171.0056,C00111,M+H[1+],287.4,0.000323533229988016,EC00085
171.00568,C00111,M+H[1+],35,0.000403533230013409,EC00088
171.0057,C00111,M+H[1+],214,0.000423533229991335,EC00089
171.00579,C00111,M+H[1+],146.3,0.000513533229991481,EC00087
172.009,C00111,M(C13)+H[1+],215,0.000323533229988016,EC00089
173.0007,C00111,M(S34)+H[1+],288.1,0.0003764667700068,EC00085
173.0008,C00111,M(S34)+H[1+],201.6,0.000276466770003481,EC00086
229.0123,C00111,M+CH3COO[-],198.8,0.00100500000002057,EC00086
98.98429,C00111,M-C3H4O2+H[1+],281.8,0.000113533230020835,EC00085
213.0151,C00117,M-H2O+H[1+],185.6,0.000776466770020079,EC00090
229.0123,C00117,M-H[-],198.8,0.0003764667700068,EC00091
268.9831,C00117,M+K[1+],188.5,0.00112353322998615,EC00090
152.9949,C00118,M-H2O+H[1+],293.5,0.000223533230013118,EC00085
152.99492,C00118,M-H2O+H[1+],202.6,0.000243533230019466,EC00086
153.9789,C00118,M-NH3+H[1+],295,0.000123533230009798,EC00085
170.9875,C00118,M(Cl37)-H[-],147.6,0.000423533229962914,EC00087
171.0056,C00118,M+H[1+],287.4,0.000323533229988016,EC00085
171.00568,C00118,M+H[1+],35,0.000403533230013409,EC00088
171.0057,C00118,M+H[1+],214,0.000423533229991335,EC00089
171.00579,C00118,M+H[1+],146.3,0.000513533229991481,EC00087
172.009,C00118,M(C13)+H[1+],215,0.000323533229988016,EC00089
173.0007,C00118,M(S34)+H[1+],288.1,0.0003764667700068,EC00085
173.0008,C00118,M(S34)+H[1+],201.6,0.000276466770003481,EC00086
229.0123,C00118,M+CH3COO[-],198.8,0.00100500000002057,EC00086
98.98429,C00118,M-C3H4O2+H[1+],281.8,0.000113533230020835,EC00085
225.0695,C00120,M-H2O-H[-],135.6,0.000823533229976192,EC00092
245.095,C00120,M+H[1+],93.9,0.00047646677001012,EC00093
267.0773,C00120,M+Na[1+],93.9,0.000176466770028583,EC00093
279.0561,C00120,M+Cl[-],128.4,0.000999999999976353,EC00092
131.035,C00121,M-H2O-H[-],176.5,7.6466770025263e-05,EC00094
131.0351,C00121,M-H2O-H[-],49.4,0.000176466770028583,EC00095
149.0455,C00121,M-H[-],115.2,2.35332299780566e-05,EC00096
185.0222,C00121,M+Cl[-],52.6,0.000500000000016598,EC00095
185.9939,C00121,M+K-2H[-],49.9,0.000152933539993683,EC00095
195.0506,C00121,M+HCOO[-],112.7,0.000155000000006567,EC00096
114.0913,C00123,M-H2O+H[1+],281.7,2.35332299922675e-05,EC00097
114.0914,C00123,M-H2O+H[1+],66.5,0.000123533229981376,EC00098
114.09142,C00123,M-H2O+H[1+],156.5,0.000143533229987725,EC00099
130.0874,C00123,M-H[-],174.7,7.64667699968413e-05,EC000100
131.0908,C00123,M(C13)-H[-],156.1,7.64667699968413e-05,EC00099
131.0941,C00123,M[1+],150.3,0.000500000000016598,EC00099
132.1019,C00123,M+H[1+],149.3,2.35332299780566e-05,EC00099
133.1053,C00123,M(C13)+H[1+],149.4,2.35332299780566e-05,EC00099
150.1125,C00123,M+H2O+H[1+],156.9,2.35332299780566e-05,EC00099
154.0839,C00123,M+Na[1+],157.2,2.35332299780566e-05,EC00099
