"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","6","5","2.7826","0.0028567","0.011936","0.014631","23","0.23","0.1599752","0.668416","0.819336","P1","EC000139;EC000140;EC000537;EC00065;EC00067;EC000655;EC000362;EC000365"
"Fructose and mannose metabolism","20","17","8","4.1007","0.01257","0.035952","0.015007","20","0.2","0.69135","1","0.825385","P2","EC000457;EC000458;EC000459;EC00018;EC000645;EC000503;EC000504;EC000506;EC000699"
"Arachidonic acid metabolism","43","42","34","3.6614","0.055565","0.13426","0.016803","0","0","1","1","0.907362","P3","EC000729;EC000602;EC000865;EC000301;EC000719;EC000956;EC000861"
"Tyrosine metabolism","42","36","22","15.378","0.061519","0.096992","0.017069","100","1","1","1","0.907362","P4","EC000451;EC000789;EC000362;EC000365;EC000779;EC000783;EC000811;EC000812;EC000402;EC000796;EC000272;EC00065;EC00067;EC000623;EC000513;EC000537;EC000343;EC000784;EC000139;EC000140;EC000461"
"Steroid hormone biosynthesis","87","56","16","6.8834","0.062407","0.12066","0.017109","0","0","1","1","0.907362","P5","EC000715;EC000438;EC000435;EC000436;EC000340;EC000746;EC000627;EC000768;EC000773;EC000937;EC000770"
"Galactose metabolism","27","24","14","2.4897","0.084038","0.21639","0.018118","0","0","1","1","0.924018","P6","EC00071;EC00018;EC000457;EC000458;EC000459"
"Valine, leucine and isoleucine degradation","35","15","7","4.833","0.08858","0.18058","0.018338","0","0","1","1","0.924018","P7","EC000180;EC000182;EC000184;EC000160;EC000116;EC000102;EC000519;EC000520"
"Porphyrin metabolism","29","11","6","4.1007","0.094399","0.20022","0.018624","0","0","1","1","0.924018","P8","EC000350;EC000483;EC000310;EC000312;EC00010;EC000344;EC000843"
"D-Amino acid metabolism","15","15","11","7.1763","0.15357","0.25744","0.021823","100","1","1","1","1","P9","EC00045;EC00010;EC00034;EC00048;EC000310;EC000312;EC000590;EC000591;EC000687;EC000668"
"Valine, leucine and isoleucine biosynthesis","8","8","6","4.2472","0.22905","0.40171","0.026803","70","0.7","1","1","1","P10","EC000180;EC000182;EC000184;EC000102;EC000116;EC000160"
"Amino sugar and nucleotide sugar metabolism","39","28","8","5.2724","0.25175","0.41165","0.028535","0","0","1","1","1","P11","EC00018;EC000645;EC000503;EC000504;EC000506;EC000256;EC0001073"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","3","2.6362","0.25312","0.4871","0.028644","100","1","1","1","1","P12","EC00059;EC00065;EC00067;EC000537"
"Tryptophan metabolism","41","31","13","9.959","0.26279","0.37748","0.029423","100","1","1","1","1","P13","EC00057;EC000499;EC000818;EC000406;EC000694;EC000829;EC000397;EC000825;EC000827;EC000607;EC00077;EC000880"
"Phosphonate and phosphinate metabolism","4","3","2","1.0252","0.26625","0.66154","0.029706","1","0.01","1","1","1","P14","EC000899;EC000837"
"alpha-Linolenic acid metabolism","12","3","2","1.0252","0.26625","0.66154","0.029706","0","0","1","1","1","P15","EC000989;EC000986"
"Nitrogen metabolism","6","2","2","1.1716","0.3235","0.71025","0.034882","100","1","1","1","1","P16","EC00010;EC00045"
"Linoleic acid metabolism","4","4","2","2.0504","0.32683","0.61701","0.035212","0","0","1","1","1","P17","EC000566;EC000720;EC000722"
"Terpenoid backbone biosynthesis","14","8","4","2.1968","0.36913","0.65577","0.039733","0","0","1","1","1","P18","EC000296;EC000106;EC000661"
"Retinol metabolism","16","14","6","1.3181","0.37957","0.75199","0.040947","0","0","1","1","1","P19","EC000341;EC0001042"
"Vitamin B6 metabolism","9","7","4","3.222","0.39249","0.62989","0.042509","100","1","1","1","1","P20","EC000868;EC000390;EC000196;EC000468"
"Starch and sucrose metabolism","12","12","7","1.4646","0.4336","0.78774","0.047947","0","0","1","1","1","P21","EC00071;EC00018"
"Phenylalanine metabolism","8","8","4","4.3937","0.43795","0.64213","0.048568","100","1","1","1","1","P22","EC000378;EC00059;EC000402;EC00065;EC00067"
"Arginine and proline metabolism","35","30","12","10.398","0.44636","0.57658","0.049794","100","1","1","1","1","P23","EC000530;EC000290;EC000291;EC000590;EC000591;EC000310;EC000312;EC00010;EC000654;EC000639;EC000668"
"Fatty acid elongation","28","2","1","0.58582","0.46336","1","0.052383","0","0","1","1","1","P24","EC000745"
"Lysine degradation","21","8","4","4.833","0.52696","0.71795","0.063568","100","1","1","1","1","P25","EC000639;EC000496;EC000290;EC000291;EC000332"
"Fatty acid degradation","35","3","1","0.73228","0.54087","1","0.066374","0","0","1","1","1","P26","EC000745"
"Primary bile acid biosynthesis","46","20","5","4.9795","0.55531","0.74046","0.069446","0","0","1","1","1","P27","EC000624;EC000191;EC0001044;EC000725;EC000757"
"Steroid biosynthesis","40","12","1","1.0252","0.66407","1","0.099119","0","0","1","1","1","P28","EC0001044"
"Glyoxylate and dicarboxylate metabolism","31","13","3","3.5149","0.69471","0.87947","0.11022","100","1","1","1","1","P29","EC00048;EC00010;EC00045"
"Histidine metabolism","16","15","7","8.055","0.70087","0.82391","0.11265","100","1","1","1","1","P30","EC00010;EC000109;EC000741;EC000845;EC000287;EC000534;EC00034"
"Biotin metabolism","4","3","1","1.1716","0.71273","1","0.11751","18","0.18","1","1","1","P31","EC00096"
"Pantothenate and CoA biosynthesis","18","12","5","6.0047","0.7267","0.86156","0.12361","100","1","1","1","1","P32","EC000476;EC000471;EC000160;EC00034;EC000116"
"Ascorbate and aldarate metabolism","8","8","2","2.4897","0.72738","0.92894","0.12391","39","0.39","1","1","1","P33","EC00018;EC000460"
"Butanoate metabolism","15","9","2","3.9543","0.7706","0.91726","0.14577","100","1","1","1","1","P34","EC000519;EC000520;EC00010"
"Propanoate metabolism","19","8","1","2.7826","0.78353","0.94809","0.15334","0","0","1","1","1","P35","EC000519;EC000520"
"Cysteine and methionine metabolism","33","21","5","6.444","0.78389","0.89655","0.15355","7","0.07","1","1","1","P36","EC000530;EC000615;EC00048;EC000984;EC000605"
"One carbon pool by folate","26","16","4","5.2724","0.78588","0.90878","0.15477","0","0","1","1","1","P37","EC000411;EC000160;EC00048;EC000615"
"Purine metabolism","70","35","8","8.7873","0.78618","0.88268","0.15495","100","1","1","1","1","P38","EC000282;EC00045;EC0004;EC000579;EC000409;EC000214;EC000552"
"Taurine and hypotaurine metabolism","8","5","1","1.4646","0.79001","1","0.15734","96","0.96","1","1","1","P39","EC000191"
"Glutathione metabolism","19","12","2","4.2472","0.81217","0.93597","0.17222","100","1","1","1","1","P40","EC00010;EC000590;EC000591"
"Nicotinate and nicotinamide metabolism","15","13","2","3.0756","0.82933","0.9621","0.18522","100","1","1","1","1","P41","EC00034;EC000621"
"Glycine, serine and threonine metabolism","30","17","5","7.0299","0.84531","0.93107","0.19872","12","0.12","1","1","1","P42","EC00048;EC000160;EC000615;EC000310;EC000312"
"Drug metabolism - cytochrome P450","43","27","6","7.0299","0.84531","0.93107","0.19872","73","0.73","1","1","1","P43","EC0001009;EC0001040;EC0001003;EC0001001;EC0001007"
"Biosynthesis of unsaturated fatty acids","36","11","2","4.5401","0.84724","0.95064","0.20045","0","0","1","1","1","P44","EC000560;EC000561;EC000566"
"Pentose phosphate pathway","23","21","3","4.6866","0.86255","0.95672","0.2151","94","0.94","1","1","1","P45","EC000581;EC00099;EC000220"
"Arginine biosynthesis","14","9","3","4.6866","0.86255","0.95672","0.2151","100","1","1","1","1","P46","EC00010;EC00034;EC00045"
"Alanine, aspartate and glutamate metabolism","28","20","6","7.3228","0.87023","0.94412","0.22311","100","1","1","1","1","P47","EC000621;EC00034;EC00010;EC00045;EC000668"
"Sphingolipid metabolism","11","8","1","2.1968","0.90434","1","0.26576","0","0","1","1","1","P48","EC00048"
"Fatty acid biosynthesis","9","6","1","2.3433","0.9183","1","0.28771","100","1","1","1","1","P49","EC000633"
"Inositol phosphate metabolism","21","13","1","2.4897","0.93023","1","0.3095","99","0.99","1","1","1","P50","EC00018"
"Metabolism of xenobiotics by cytochrome P450","68","33","3","6.0047","0.94994","0.98719","0.35432","4","0.04","1","1","1","P51","EC000959;EC000877;EC000878"
"Glycolysis or Gluconeogenesis","23","15","2","3.0756","0.96296","1","0.39344","100","1","1","1","1","P52","EC00018"
"Pentose and glucuronate interconversions","18","17","5","3.0756","0.96296","1","0.39344","100","1","1","1","1","P53","EC00099"
"Glycerophospholipid metabolism","13","6","1","3.222","0.96839","1","0.41339","99","0.99","1","1","1","P54","EC000418"
"beta-Alanine metabolism","21","13","2","5.4188","0.97858","0.99701","0.46015","100","1","1","1","1","P55","EC00034;EC000109"
"Pyrimidine metabolism","39","21","3","8.6409","0.99908","0.99992","0.73056","100","1","1","1","1","P56","EC00045;EC000229"
