Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
311.2006,17ahprgstrn,M-H2O-H[-],174.1,0.00100553322999986,EC0001
160.0604,1mncam,M+Na[1+],278.8,0.0003634667700112,EC0002
146.9386,3spyr,M-H2O-H[-],43,0.000732020029971636,EC0003
164.95,3spyr,M-H[-],127.9,6.79799699980776e-05,EC0004
244.8765,3spyr,M+Br[-],46.9,0.00099151319997759,EC0003
246.8736,3spyr,M+Br81[-],47,9.1513200004556e-05,EC0003
200.9721,4nphsf,M-H2O+H[1+],297.1,0.000509022969993111,EC0005
200.9723,4nphsf,M-H2O+H[1+],204.2,0.000309022970014894,EC0006
218.9649,4nphsf,M(S34)-H[-],199.3,0.000443910569998707,EC0006
447.2387,5adtststeroneglc,M-H2O-H[-],158.4,7.65332299579313e-05,EC0007
465.2491,5adtststeroneglc,M-H[-],144.3,0.000276533229964571,EC0008
466.2524,5adtststeroneglc,M(C13)-H[-],144.5,0.000376533229939469,EC0008
481.2444,5adtststeroneglc,M-H+O[-],138.5,0.000113466770017112,EC0008
511.2557,5adtststeroneglc,M+HCOO[-],141.2,0.00140199999998458,EC0008
525.2703,5adtststeroneglc,M+CH3COO[-],138.7,0.00035200000002078,EC0008
535.2535,5adtststeroneglc,M+HCOONa[1+],147.5,0.00217053323001437,EC0008
350.1552,5adtststerones,M-H2O-H[-],58.4,0.000493264629994883,EC0009
371.1859,5adtststerones,M(C13)+H[1+],69.8,0.00165380183000252,EC00010
392.1633,5adtststerones,M+Na[1+],70.9,0.000453801830019529,EC00010
476.3735,adrncrn,M+H[1+],64.4,6.44667299525281e-05,EC00011
447.2387,ahandrostanglc,M-H2O-H[-],158.4,7.65332299579313e-05,EC0007
465.2491,ahandrostanglc,M-H[-],144.3,0.000276533229964571,EC0008
466.2524,ahandrostanglc,M(C13)-H[-],144.5,0.000376533229939469,EC0008
481.2444,ahandrostanglc,M-H+O[-],138.5,0.000113466770017112,EC0008
511.2557,ahandrostanglc,M+HCOO[-],141.2,0.00140199999998458,EC0008
525.2703,ahandrostanglc,M+CH3COO[-],138.7,0.00035200000002078,EC0008
535.2535,ahandrostanglc,M+HCOONa[1+],147.5,0.00217053323001437,EC0008
220.1056,alpam,M-H2O+H[1+],183.4,0.000606153370000584,EC00012
285.1857,andrstndn,M-H[-],180.1,0.000291533229983543,EC00013
447.2387,andrstrnglc,M-H2O-H[-],158.4,7.65332299579313e-05,EC0007
465.2491,andrstrnglc,M-H[-],144.3,0.000276533229964571,EC0008
466.2524,andrstrnglc,M(C13)-H[-],144.5,0.000376533229939469,EC0008
481.2444,andrstrnglc,M-H+O[-],138.5,0.000113466770017112,EC0008
511.2557,andrstrnglc,M+HCOO[-],141.2,0.00140199999998458,EC0008
525.2703,andrstrnglc,M+CH3COO[-],138.7,0.00035200000002078,EC0008
535.2535,andrstrnglc,M+HCOONa[1+],147.5,0.00217053323001437,EC0008
384.3838,arachcrn,M-C3H4O2+H[1+],61.8,0.000162533229968176,EC00014
456.4048,arachcrn,M+H[1+],63.5,6.25332299932779e-05,EC00014
412.3211,arachdcrn,M-H4O2+H[1+],65.3,0.000164595130001999,EC00015
430.3315,arachdcrn,M-H2O+H[1+],79.1,3.54048700046405e-05,EC00016
448.3425,arachdcrn,M+H[1+],68.6,0.000364595129951795,EC00015
449.3458,arachdcrn,M(C13)+H[1+],68.4,0.000264595129976897,EC00015
466.3529,arachdcrn,M+H2O+H[1+],69.2,0.000164595129945155,EC00015
397.1314,C00019,M-H[-],136.7,0.00147646676998647,EC00017
348.0705,C00020,M+H[1+],262.3,0.000123533229952955,EC00018
204.0592,C00021,M+H+Na[2+],174.8,0.000123533229981376,EC00019
384.1201,C00021,M[1+],175.2,0.00150000000002137,EC00019
385.1286,C00021,M+H[1+],174.4,0.000276466770003481,EC00019
385.1301,C00021,M+H[1+],67.5,0.00122353323001789,EC00020
386.1326,C00021,M(C13)+H[1+],174.6,0.000323533230016437,EC00019
407.1106,C00021,M+Na[1+],175.3,0.000276466770060324,EC00019
463.0385,C00021,M+Br[-],175.2,0.00139999999998963,EC00019
87.0084,C00022,M-H[-],141.8,0.000323533230016437,EC00021
87.0089,C00022,M-H[-],49.7,0.00017646676998595,EC00022
88.0123,C00022,M(C13)-H[-],50.1,0.00017646676998595,EC00022
102.055,C00025,M-HCOOH+H[1+],184.5,7.64667699826305e-05,EC00023
120.0655,C00025,M-CO+H[1+],183.9,2.35332300064783e-05,EC00023
128.0354,C00025,M-H2O-H[-],209.8,7.6466770025263e-05,EC00024
130.0499,C00025,M-H2O+H[1+],77.9,2.35332300064783e-05,EC00025
130.04997,C00025,M-H2O+H[1+],188.4,9.35332300002756e-05,EC00023
146.0459,C00025,M-H[-],184.2,2.35332300064783e-05,EC00023
146.04595,C00025,M-H[-],58.3,2.64667700093923e-05,EC00026
148.0604,C00025,M+H[1+],185.7,7.6466770025263e-05,EC00023
167.021,C00025,M+Na-2H[-],53,0.0003529335399719,EC00026
129.0183,C00026,M-H2O+H[1+],50.4,0.000123533230009798,EC00027
145.0143,C00026,M-H[-],88.4,7.64667699968413e-05,EC00028
145.01437,C00026,M-H[-],199.2,0.00014646677001906,EC00029
547.0388,C00029,M-H2O-H[-],176.1,0.00167646677004996,EC00030
565.0485,C00029,M-H[-],174.2,0.000776466770048501,EC00030
161.0455,C00031,M-H2O-H[-],101.1,2.35332299780566e-05,EC00031
163.0601,C00031,M-H2O+H[1+],193.7,2.35332300064783e-05,EC00032
179.056,C00031,M-H[-],50.1,0.000123533229981376,EC00033
203.0526,C00031,M+Na[1+],171.9,7.64667699968413e-05,EC00034
220.0823,C00031,M+ACN-H[-],53.5,0.000368533229988088,EC00033
89.0245,C00031,M-2H[2-],180.3,7.64667699968413e-05,EC00035
89.02458,C00031,M-2H[2-],50.3,0.000156466769993813,EC00033
112.9877,C00036,M-H2O-H[-],157.6,0.000323533230002226,EC00036
112.9881,C00036,M-H2O-H[-],47.8,7.64667699968413e-05,EC00037
112.9882,C00036,M-H2O-H[-],238.2,0.000176466770000161,EC00038
146.9934,C00036,M-H+O[-],257.5,0.00013353322998455,EC00038
88.0404,C00041,M-H[-],52.6,2.35332300064783e-05,EC00039
88.04041,C00041,M-H[-],155.1,1.35332300175151e-05,EC00040
90.055,C00041,M+H[1+],178.9,2.35332300064783e-05,EC00041
91.0583,C00041,M(C13)+H[1+],179.2,7.64667699968413e-05,EC00041
117.0194,C00042,M-H[-],179.5,7.64667699968413e-05,EC00042
99.0088,C00042,M-H2O-H[-],55.8,7.64667699826305e-05,EC00043
103.123,C00047,M-CO2+H[1+],186.8,2.35332300064783e-05,EC00044
111.0917,C00047,M-H4O2+H[1+],186,0.000123533229995587,EC00044
129.1022,C00047,M-H2O+H[1+],179.8,2.35332300064783e-05,EC00045
129.1023,C00047,M-H2O+H[1+],102.9,0.000123533230009798,EC00046
130.0863,C00047,M-NH3+H[1+],196.9,2.35332299780566e-05,EC00044
147.1128,C00047,M+H[1+],191.3,2.35332299780566e-05,EC00044
148.1161,C00047,M(C13)+H[1+],190.1,7.6466770025263e-05,EC00044
182.04597,C00047,M+K-2H[-],200.7,0.000477066460007336,EC00044
106.0499,C00049,M-CO+H[1+],190,0.000123533230009798,EC00047
116.0342,C00049,M-H2O+H[1+],191.2,2.35332300064783e-05,EC00047
132.0302,C00049,M-H[-],88.2,2.35332299780566e-05,EC00048
132.03028,C00049,M-H[-],14.4,5.64667700189148e-05,EC00049
218.007,C00049,M+HCOOK[1+],93.8,0.000923533230007934,EC00048
88.0393,C00049,M-HCOOH+H[1+],190,7.64667699826305e-05,EC00047
280.09662,C00051,M-CO+H[1+],140.4,0.000543533229972581,EC00050
288.0668,C00051,M-H2O-H[-],140.3,0.000876466770023399,EC00050
547.0388,C00052,M-H2O-H[-],176.1,0.00167646677004996,EC00030
