"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tryptophan metabolism","94","53","27","19.378","0.0006547","0.0013508",NA,"3","0.03","0.0549948","0.1134672",NA,"P1","EC00023;EC00026;EC0001071;EC0001383;EC000520;EC000796;EC000476;EC000754;EC00074;EC00075;EC000598;EC000599;EC000908;EC000657;EC00097;EC00098;EC00099;EC0001391;EC0001155;EC0001451;EC0001423;EC0001534;EC0001535;EC0001424;EC00035;EC000892;EC0001062;EC0001059;EC0001060;EC000235;EC000467"
"Benzoate degradation via CoA ligation","4","2","2","0.99374","0.0059857","0.047642",NA,"0","0","0.4968131","1",NA,"P2","EC000140;EC000141;EC000142;EC000807"
"Tyrosine metabolism","160","86","44","33.125","0.010775","0.0166",NA,"23","0.23","0.88355","1",NA,"P3","EC0001391;EC000528;EC00023;EC00026;EC0001445;EC000541;EC000472;EC000474;EC000333;EC000617;EC000908;EC000271;EC000417;EC0001216;EC0001025;EC00076;EC00082;EC00084;EC000386;EC000167;EC000172;EC00058;EC0001058;EC0001020;EC0001021;EC000304;EC0001217;EC0001057;EC000685;EC000686;EC000752;EC000753;EC0001035;EC0001037;EC0001047;EC000439;EC000440;EC0001052;EC0001053;EC000101;EC000104;EC0001425"
"Butanoate metabolism","34","20","13","9.1093","0.013066","0.028454",NA,"0","0","1","1",NA,"P4","EC00023;EC00026;EC000101;EC000104;EC0001013;EC0001016;EC0001146;EC000188;EC000832;EC000601;EC000603;EC000295;EC000801;EC000803;EC000561"
"Urea cycle/amino group metabolism","85","39","17","18.384","0.020851","0.035477",NA,"6","0.06","1","1",NA,"P5","EC00023;EC00026;EC000148;EC000150;EC000685;EC000686;EC000534;EC000860;EC000819;EC000820;EC000356;EC000357;EC000386;EC000978;EC000295;EC000351;EC000353;EC000355;EC000842;EC000528;EC000271;EC00047;EC000326;EC000327;EC0001574"
"Fructose and mannose metabolism","33","22","9","4.1406","0.025762","0.069519",NA,"0","0","1","1",NA,"P6","EC000189;EC00035;EC000106;EC000109;EC00032;EC000538;EC000539;EC000824"
"Porphyrin metabolism","43","15","5","5.2999","0.041807","0.09587",NA,"3","0.03","1","1",NA,"P7","EC000351;EC000353;EC000355;EC000397;EC000398;EC000333;EC000172;EC000387;EC000388"
"Arginine and Proline Metabolism","45","26","14","12.256","0.04442","0.078499",NA,"3","0.03","1","1",NA,"P8","EC00023;EC00026;EC000148;EC000150;EC000860;EC00037;EC000819;EC000820;EC000723;EC000729;EC000351;EC000353;EC000355;EC00058;EC00047;EC000326;EC000327"
"Valine, leucine and isoleucine degradation","65","25","14","8.1155","0.055377","0.10682",NA,"1","0.01","1","1",NA,"P9","EC00023;EC00026;EC000101;EC000104;EC000135;EC000121;EC000188;EC000601;EC000603;EC000210;EC000211;EC000295"
"Vitamin A (retinol) metabolism","67","21","11","3.9749","0.058222","0.14033",NA,"1","0.01","1","1",NA,"P10","EC0001470;EC000742;EC0001361;EC0001362;EC000172;EC000384;EC000946"
