"","m.z","p.value","mode","r.t"
"1",85.0114,0.646789508147847,"positive",153.4
"2",85.0284,0.0216259502666231,"positive",158.2
"3",85.0478,0.506990480209724,"positive",188.3
"4",85.0842,0.685516563550365,"positive",64.7
"5",85.1747,0.422958740747114,"positive",61
"6",85.2862,0.794960787339046,"positive",60.8
"7",85.3987,0.798694359305857,"positive",62
"8",85.5101,0.560007324694378,"positive",61.5
"9",85.5657,0.207835622435778,"positive",71.1
"10",85.6222,0.111790572879106,"positive",62.7
"11",85.6499,0.27351518140382,"positive",171
"12",85.7786,0.338853272093337,"positive",51.1
"13",85.963,0.837691312675689,"positive",214.7
"14",86.0059,0.236120069077165,"positive",55.1
"15",86.0318,0.167477717128226,"positive",129.9
"16",86.0503,0.509537100605628,"positive",274.6
"17",86.0565,0.975610300387818,"positive",69.6
"18",86.06,0.0437979626436421,"positive",22.8
"19",86.06,0.276113466402263,"positive",291.2
"20",86.0622,0.425731260462257,"positive",67.9
"21",86.0713,0.928212727781971,"positive",128.4
"22",86.0964,0.596048816368673,"positive",108.5
"23",86.0965,0.000375645373569,"positive",156.3
"24",86.2477,0.0551140781682632,"positive",44.7
"25",86.3586,0.299948514430954,"positive",44.8
"26",86.7279,0.0316966575863006,"positive",63.4
"27",86.8393,0.0227471068645544,"positive",63.6
"28",86.9087,0.668526839393982,"positive",158.4
"29",86.9411,0.448761048460332,"positive",80
"30",86.9519,0.0788788192635502,"positive",62.6
"31",86.9927,0.481268176294052,"positive",206.6
"32",86.9969,0.350968193558014,"positive",80
"33",87.0441,0.0022595076928796,"positive",137.5
"34",87.0441,0.813623449728184,"positive",73.3
"35",87.0634,0.0611193562235656,"positive",62.8
"36",87.0909,0.394066214794233,"positive",119.5
"37",87.0998,0.00609527640978866,"positive",107.4
"38",87.0998,0.000188613054608698,"positive",156.4
"39",87.1755,0.432771041155393,"positive",63.5
"40",87.2874,0.667511914157307,"positive",64
"41",87.2943,0.700095865729851,"positive",70.7
"42",87.3998,0.708105103673629,"positive",63.7
"43",87.5113,0.837208574850688,"positive",64
"44",87.6231,0.373886824965767,"positive",63.8
"45",87.841,0.116954014542791,"positive",61
"46",88.0216,0.0670287462923203,"positive",105.5
"47",88.0393,0.0426388329006303,"positive",190
"48",88.0393,0.685686181337766,"positive",58
"49",88.0578,0.549916561666711,"positive",265.5
"50",88.0578,0.0130297958976874,"positive",184.4
"51",88.0639,0.207358086466427,"positive",154
"52",88.0651,0.497643755713704,"positive",60.9
"53",88.0659,0.415115291976897,"positive",271.1
"54",88.0757,0.917049571314468,"positive",137.1
"55",88.0869,0.56902444035643,"positive",110.2
"56",88.1121,0.0230958171324781,"positive",18.3
"57",88.1121,0.792590213103627,"positive",145
"58",88.1766,0.521197287961047,"positive",60.7
"59",88.2893,0.629256851201763,"positive",61
"60",88.4008,0.223140928421279,"positive",60.6
"61",88.509,0.478279442573974,"positive",62.5
"62",88.5131,0.595638869126168,"positive",60.7
"63",88.6245,0.243719953598888,"positive",61.2
"64",88.8208,0.270655038491782,"positive",49
"65",88.9526,0.879559456729161,"positive",214.4
"66",89.0249,0.590700997084432,"positive",165.4
"67",89.0418,0.657792832267401,"positive",268.6
"68",89.0418,0.871667091375614,"positive",196.4
"69",89.0597,0.265631983651492,"positive",70
"70",89.071,0.4776621276182,"positive",141.9
"71",89.079,0.324599676521044,"positive",17.1
"72",89.079,0.569333059353442,"positive",188.6
"73",89.0791,0.956320512056984,"positive",137.6
"74",89.387,0.353509114894806,"positive",79.9
"75",89.5067,0.474695986272502,"positive",293
"76",89.5515,0.27177384772827,"positive",72.7
"77",89.6186,0.0295140026156573,"positive",61.9
"78",89.7301,0.0267037318751648,"positive",62.1
"79",89.8425,0.00573996893666164,"positive",61.8
"80",89.9537,0.0361398890917626,"positive",62.3
"81",90.0212,0.919783119342477,"positive",30.1
"82",90.0372,0.71604552623078,"positive",89.2
"83",90.055,0.534987306738351,"positive",178.9
"84",90.0607,0.277649451174285,"positive",154.1
"85",90.0631,0.275523567318159,"positive",71.3
"86",90.0664,0.0101379365800685,"positive",61.3
"87",90.0735,0.372839811668428,"positive",269.7
"88",90.0914,0.222475842514707,"positive",138.7
"89",90.178,0.00614692108784314,"positive",61.5
"90",90.1851,0.297524786056358,"positive",70.3
"91",90.2898,0.0358205343496058,"positive",62.2
"92",90.2964,0.391050935695482,"positive",70.3
"93",90.4017,0.918643967500629,"positive",62.4
"94",90.4087,0.441677401383368,"positive",70.5
"95",90.507,0.918015078969808,"positive",14
"96",90.507,0.369920564467049,"positive",204
"97",90.5258,0.88195454426456,"positive",277.6
"98",90.5259,0.310034558940647,"positive",215.9
"99",90.7313,0.806085068654284,"positive",171.2
"100",90.9477,0.267178758307863,"positive",287.8
