"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Fructose and mannose metabolism","20","17","12","3.2388","1.7267e-05","9.7505e-05","0.015512","0","0","0.000880617","0.004972755","0.791112","P1","EC000456;EC000457;EC000458;EC000459;EC00018;EC000270;EC000645;EC00086;EC000503;EC000504;EC000506;EC000699"
"Biosynthesis of unsaturated fatty acids","36","11","8","3.5858","0.00030689","0.0012979","0.015524","0","0","0.0153445","0.064895","0.791112","P2","EC000559;EC000560;EC000561;EC000566;EC000567;EC000568;EC000179;EC000650;EC000892;EC000897;EC000895"
"Galactose metabolism","27","24","10","1.9664","0.0082228","0.03405","0.015843","0","0","0.4029172","1","0.791112","P3","EC00018;EC000270;EC000456;EC000457;EC000458;EC000459"
"Linoleic acid metabolism","4","4","4","1.6194","0.01504","0.062846","0.016124","0","0","0.72192","1","0.791112","P4","EC000566;EC000567;EC000568;EC000967;EC000720"
"Valine, leucine and isoleucine degradation","35","15","7","3.8172","0.026425","0.068342","0.016605","0","0","1","1","0.791112","P5","EC000180;EC000182;EC000184;EC000160;EC000116;EC000102;EC000519;EC000520"
"Steroid hormone biosynthesis","87","56","16","5.4366","0.03274","0.072413","0.016879","0","0","1","1","0.791112","P6","EC000715;EC000438;EC000436;EC000340;EC000746;EC000626;EC000627;EC000768;EC000940;EC000937"
"Amino sugar and nucleotide sugar metabolism","39","28","8","4.1642","0.042974","0.10058","0.017332","0","0","1","1","0.791112","P7","EC00018;EC000645;EC000503;EC000504;EC000506;EC000254;EC000256;EC0001073"
"Valine, leucine and isoleucine biosynthesis","8","8","6","3.3545","0.10114","0.22132","0.020173","14","0.14","1","1","0.887612","P8","EC000180;EC000182;EC000184;EC000102;EC000116;EC000160"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","3","2.0821","0.13842","0.33123","0.022257","100","1","1","1","0.957051","P9","EC000145;EC00059;EC00065;EC00067"
"Arachidonic acid metabolism","43","42","21","2.8918","0.14491","0.30859","0.022643","0","0","1","1","0.957051","P10","EC000728;EC000729;EC000179;EC000602;EC000719"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","6","3","2.1978","0.1607","0.36384","0.023613","97","0.97","1","1","0.968133","P11","EC000140;EC00065;EC00067;EC000365"
"alpha-Linolenic acid metabolism","12","3","2","0.8097","0.18412","0.5682","0.025137","0","0","1","1","1","P12","EC000892;EC000986"
"Tyrosine metabolism","42","36","15","12.146","0.29763","0.4024","0.03423","100","1","1","1","1","P13","EC000803;EC000237;EC000789;EC000791;EC000365;EC000783;EC000796;EC000272;EC00065;EC00067;EC000623;EC000512;EC000513;EC000140"
"Inositol phosphate metabolism","21","13","6","1.9664","0.30308","0.58831","0.03475","22","0.22","1","1","1","P14","EC000270;EC00018;EC00086"
"Starch and sucrose metabolism","12","12","3","1.1567","0.31708","0.69924","0.036129","0","0","1","1","1","P15","EC00018;EC000270"
"Porphyrin metabolism","29","11","3","3.2388","0.39604","0.62875","0.045151","0","0","1","1","1","P16","EC000350;EC000483;EC000310;EC000312"
"Glycolysis or Gluconeogenesis","23","15","5","2.4291","0.43359","0.7053","0.050324","18","0.18","1","1","1","P17","EC00086;EC000270;EC00018"
"Phenylalanine metabolism","8","8","4","3.4701","0.45004","0.6765","0.052802","100","1","1","1","1","P18","EC00059;EC000145;EC00065;EC00067"
"Vitamin B6 metabolism","9","7","3","2.5448","0.46508","0.72988","0.055192","100","1","1","1","1","P19","EC000390;EC000237;EC000201"
"Terpenoid backbone biosynthesis","14","8","3","1.7351","0.52281","0.83579","0.065617","0","0","1","1","1","P20","EC000296;EC000106"
"Lysine degradation","21","8","4","3.8172","0.52792","0.73947","0.066646","100","1","1","1","1","P21","EC000639;EC000496;EC000290;EC000332"
"Citrate cycle (TCA cycle)","16","11","2","1.8507","0.55888","0.85456","0.073316","85","0.85","1","1","1","P22","EC00013;EC000295"
"Steroid biosynthesis","40","12","1","0.8097","0.57132","1","0.076219","0","0","1","1","1","P23","EC0001044"
"Phosphonate and phosphinate metabolism","4","3","1","0.8097","0.57132","1","0.076219","36","0.36","1","1","1","P24","EC000899"
"Butanoate metabolism","15","9","2","3.1231","0.60897","0.82822","0.085898","97","0.97","1","1","1","P25","EC000519;EC000520;EC00013"
"Biotin metabolism","4","3","1","0.92537","0.62036","1","0.089118","8","0.08","1","1","1","P26","EC00096"
"Nitrogen metabolism","6","2","1","0.92537","0.62036","1","0.089118","100","1","1","1","1","P27","EC00045"
"Propanoate metabolism","19","8","1","2.1978","0.65525","0.89903","0.099969","0","0","1","1","1","P28","EC000519;EC000520"
"D-Amino acid metabolism","15","15","6","5.6679","0.67309","0.82399","0.10616","100","1","1","1","1","P29","EC00045;EC000310;EC000312;EC000591;EC000668"
"Tryptophan metabolism","41","31","8","7.8657","0.67321","0.80129","0.1062","100","1","1","1","1","P30","EC00057;EC000499;EC000406;EC000694;EC000253;EC000827;EC00077"
"Lipoic acid metabolism","17","6","1","1.1567","0.70235","1","0.11743","46","0.46","1","1","1","P31","EC00013"
"Metabolism of xenobiotics by cytochrome P450","68","33","7","4.7425","0.70492","0.86081","0.11849","0","0","1","1","1","P32","EC000959;EC000878;EC0001059;EC0001061"
"Arginine and proline metabolism","35","30","9","8.2127","0.71837","0.83435","0.12426","100","1","1","1","1","P33","EC000290;EC000591;EC000310;EC000312;EC000654;EC000639;EC000668"
"Pentose phosphate pathway","23","21","3","3.7015","0.725","0.89333","0.12724","64","0.64","1","1","1","P34","EC000581;EC00086;EC000270"
"Glycerophospholipid metabolism","13","6","2","2.5448","0.73422","0.92997","0.13155","75","0.75","1","1","1","P35","EC00086;EC000418"
"Glycerolipid metabolism","7","5","1","1.2724","0.73649","1","0.13264","76","0.76","1","1","1","P36","EC00086"
"Primary bile acid biosynthesis","46","20","3","3.9328","0.76329","0.91232","0.14651","0","0","1","1","1","P37","EC000624;EC0001044;EC000725"
"Glyoxylate and dicarboxylate metabolism","31","13","2","2.7761","0.77795","0.94517","0.15495","100","1","1","1","1","P38","EC000295;EC00045"
"Glycine, serine and threonine metabolism","30","17","3","5.5522","0.8163","0.92337","0.18061","5","0.05","1","1","1","P39","EC000160;EC000615;EC000310;EC000312"
"Purine metabolism","70","35","5","6.9403","0.83397","0.92376","0.19461","100","1","1","1","1","P40","EC000282;EC00045;EC000775;EC000409;EC000552"
"Alanine, aspartate and glutamate metabolism","28","20","4","5.7836","0.84102","0.93583","0.20066","100","1","1","1","1","P41","EC00045;EC000668;EC00013;EC0001072"
"Pantothenate and CoA biosynthesis","18","12","3","4.7425","0.86468","0.95675","0.2233","100","1","1","1","1","P42","EC000471;EC000160;EC000116"
"Ascorbate and aldarate metabolism","8","8","1","1.9664","0.87346","1","0.23279","73","0.73","1","1","1","P43","EC00018"
"Drug metabolism - other enzymes","28","12","1","2.0821","0.88807","1","0.25017","85","0.85","1","1","1","P44","EC0001087"
"Histidine metabolism","16","15","2","6.3619","0.89098","0.9593","0.2539","100","1","1","1","1","P45","EC000741;EC000743;EC000533;EC000534"
"Arginine biosynthesis","14","9","2","3.7015","0.89608","0.97949","0.26069","100","1","1","1","1","P46","EC00045;EC00013"
"Pyrimidine metabolism","39","21","5","6.8246","0.92057","0.97204","0.29853","100","1","1","1","1","P47","EC00045;EC000524;EC000229;EC000227"
"One carbon pool by folate","26","16","2","4.1642","0.93027","0.98749","0.31666","0","0","1","1","1","P48","EC000160;EC000615"
"Cysteine and methionine metabolism","33","21","2","5.0896","0.96953","0.99538","0.42572","65","0.65","1","1","1","P49","EC000615;EC000984"
"Glutathione metabolism","19","12","1","3.3545","0.9712","1","0.43271","100","1","1","1","1","P50","EC000591"
"Drug metabolism - cytochrome P450","43","27","1","5.5522","0.99734","1","0.66629","100","1","1","1","1","P51","EC0001009"
