"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"De novo fatty acid biosynthesis","106","17","14","8.431","0.0017283","0.0048563","0.0055721","0","0","0.1486338","0.4176418","0.4792006","P1","EC00018;EC000696;EC000697;EC000698;EC000519;EC0001197;EC000713;EC0001201;EC000762;EC0001415;EC000812;EC000859;EC000214;EC000707;EC000708;EC000709"
"Arachidonic acid metabolism","95","51","36","7.1663","0.0073336","0.019283","0.0056688","0","0","0.623356","1","0.481848","P2","EC00023;EC00024;EC00018;EC0001306;EC000607;EC000608;EC000483;EC000971;EC000168;EC0001479;EC0001197;EC0001514;EC000214"
"Fatty acid activation","74","19","13","8.2202","0.010313","0.024762","0.0057209","0","0","0.866292","1","0.481848","P3","EC0001508;EC00018;EC000713;EC000519;EC0001415;EC0001197;EC000227;EC000707;EC000708;EC000709;EC000696;EC000697;EC000698;EC000859"
"Fructose and mannose metabolism","33","22","8","5.2694","0.012798","0.035961","0.0057648","4","0.04","1","1","0.481848","P4","EC000623;EC000624;EC000626;EC000107;EC00032;EC000551;EC000552;EC000553;EC000554;EC000844"
"Butanoate metabolism","34","20","11","11.803","0.013757","0.028261","0.0057818","64","0.64","1","1","0.481848","P5","EC00023;EC00024;EC00027;EC00018;EC0001044;EC0001045;EC0001048;EC000192;EC000853;EC000854;EC000617;EC000618;EC0001162;EC0001164;EC0001166;EC0001167;EC000227;EC000576"
"Di-unsaturated fatty acid beta-oxidation","26","4","2","1.4754","0.029046","0.13431","0.0060606","0","0","1","1","0.4909086","P6","EC00018;EC000707;EC000708;EC000709"
"Polyunsaturated fatty acid biosynthesis","21","1","1","1.0539","0.052216","0.24652","0.0065106","0","0","1","1","0.520848","P7","EC000696;EC000697;EC000698"
"Prostaglandin formation from arachidonate","78","44","25","9.0633","0.054753","0.10504","0.0065619","0","0","1","1","0.520848","P8","EC0001153;EC000607;EC000608;EC0001511;EC0001158;EC000483;EC0001514;EC000214;EC00018;EC0001154;EC0001156;EC0001157;EC00066"
"Tryptophan metabolism","94","55","30","24.871","0.084059","0.12189","0.0071878","100","1","1","1","0.5606484","P9","EC00023;EC00024;EC00027;EC00018;EC0001103;EC000293;EC000536;EC000814;EC0001111;EC000490;EC000773;EC00075;EC00076;EC000615;EC000933;EC0001098;EC00098;EC00099;EC0001434;EC0001188;EC0001466;EC0001582;EC000917;EC0001095;EC000596;EC000597;EC000599;EC000241;EC000481"
"Benzoate degradation via CoA ligation","4","2","2","1.2646","0.08978","0.32525","0.0073173","0","0","1","1","0.5634321","P10","EC000143;EC000144;EC000826"
"Prostaglandin formation from dihomo gama-linoleic acid","11","5","4","1.2646","0.08978","0.32525","0.0073173","0","0","1","1","0.5634321","P11","EC000483;EC0001514;EC0001479"
"Omega-6 fatty acid metabolism","55","6","3","1.2646","0.08978","0.32525","0.0073173","0","0","1","1","0.5634321","P12","EC00018;EC0001508;EC000214"
