"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"D-Amino acid metabolism","15","15","11","6.125","0.011793","0.028216","0.014895","99","0.99","0.660408","1","0.83412","P1","EC00045;EC0009;EC00010;EC00034;EC00048;EC000310;EC000312;EC000314;EC000590;EC000591;EC000687;EC000668"
"Porphyrin metabolism","29","11","5","3.5","0.015316","0.044587","0.015033","0","0","0.84238","1","0.83412","P2","EC000350;EC000310;EC000312;EC000314;EC0009;EC00010;EC000344;EC000843"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","6","5","2.375","0.021415","0.07071","0.015276","76","0.76","1","1","0.83412","P3","EC000140;EC000537;EC00065;EC00067;EC000655;EC000362"
"Galactose metabolism","27","24","14","2.125","0.047233","0.14271","0.016349","0","0","1","1","0.866497","P4","EC00071;EC00018;EC000457;EC000458;EC000459"
"Tryptophan metabolism","41","31","14","8.5","0.062521","0.1125","0.017022","98","0.98","1","1","0.885144","P5","EC00057;EC000499;EC000815;EC000818;EC000406;EC000694;EC000829;EC000397;EC000825;EC000827;EC00077;EC000544;EC000880"
"Nitrogen metabolism","6","2","2","1","0.063758","0.25378","0.017078","97","0.97","1","1","0.885144","P6","EC0009;EC00010;EC00045"
"Phenylalanine metabolism","8","8","5","3.75","0.064458","0.14815","0.01711","100","1","1","1","0.885144","P7","EC000378;EC000379;EC000143;EC000402;EC000403;EC00065;EC00067"
"Tyrosine metabolism","42","36","19","13.125","0.078938","0.12452","0.017779","100","1","1","1","0.885144","P8","EC000451;EC000789;EC000362;EC000779;EC000783;EC000811;EC000812;EC000402;EC000403;EC000794;EC000272;EC00065;EC00067;EC000537;EC000343;EC000784;EC000140;EC000461"
"Linoleic acid metabolism","4","4","4","1.75","0.081614","0.23815","0.017906","0","0","1","1","0.885144","P9","EC000566;EC000968;EC000720;EC000722"
"Terpenoid backbone biosynthesis","14","8","4","1.875","0.10109","0.27296","0.018858","0","0","1","1","0.886326","P10","EC000296;EC000106;EC000660;EC000661"
"Fructose and mannose metabolism","20","17","7","3.5","0.11806","0.24886","0.019733","79","0.79","1","1","0.907718","P11","EC000457;EC000458;EC000459;EC00018;EC000645;EC000699"
"Arginine and proline metabolism","35","30","11","8.875","0.1494","0.23773","0.021466","100","1","1","1","0.96597","P12","EC000290;EC000291;EC000590;EC000591;EC000310;EC000312;EC000314;EC0009;EC00010;EC000654;EC000639;EC000668"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","3","2.25","0.17037","0.37908","0.022718","100","1","1","1","0.999592","P13","EC000143;EC00065;EC00067;EC000537"
"Phosphonate and phosphinate metabolism","4","3","2","0.875","0.20844","0.59856","0.0252","1","0.01","1","1","1","P14","EC000899;EC000837"
"alpha-Linolenic acid metabolism","12","3","2","0.875","0.20844","0.59856","0.0252","0","0","1","1","1","P15","EC000989;EC000986"
"Valine, leucine and isoleucine degradation","35","15","7","4.125","0.21014","0.37534","0.025317","4","0.04","1","1","1","P16","EC000180;EC000182;EC000159;EC000116;EC000102;EC000519"
"Lysine degradation","21","8","4","4.125","0.21014","0.37534","0.025317","100","1","1","1","1","P17","EC000639;EC000496;EC000290;EC000291;EC000330;EC000332"
"Valine, leucine and isoleucine biosynthesis","8","8","6","3.625","0.2788","0.47967","0.030609","78","0.78","1","1","1","P18","EC000180;EC000182;EC000102;EC000116;EC000159"
"Glyoxylate and dicarboxylate metabolism","31","13","3","3","0.33947","0.57603","0.036321","97","0.97","1","1","1","P19","EC00048;EC0009;EC00010;EC00045"
"Starch and sucrose metabolism","12","12","7","1.25","0.35286","0.72904","0.037737","0","0","1","1","1","P20","EC00071;EC00018"
"Arachidonic acid metabolism","43","42","21","3.125","0.36918","0.60499","0.039547","0","0","1","1","1","P21","EC000729;EC000602;EC000865;EC000719"
"Primary bile acid biosynthesis","46","20","5","4.25","0.40772","0.61162","0.044225","0","0","1","1","1","P22","EC000624;EC000191;EC0001044;EC000725;EC000757"
"Fatty acid elongation","28","2","1","0.5","0.40842","1","0.044316","0","0","1","1","1","P23","EC000745"
