"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Tyrosine metabolism","42","36","27","21.549","0.0054787","0.0097917","0.015272","100","1","0.3342007","0.5972937","0.931592","P1","EC000451;EC000455;EC000239;EC000789;EC000362;EC000779;EC000783;EC000811;EC000812;EC000402;EC000403;EC000794;EC000796;EC000271;EC000272;EC00065;EC00066;EC00067;EC000623;EC000513;EC000537;EC000685;EC000343;EC000784;EC000786;EC000139;EC000140;EC000806;EC000377;EC000461;EC000462;EC000391"
"Phenylalanine metabolism","8","8","7","6.1567","0.0092033","0.024546","0.015421","100","1","0.552198","1","0.931592","P2","EC000378;EC000379;EC000381;EC00059;EC000143;EC000144;EC000685;EC000402;EC000403;EC00065;EC00066;EC00067"
"Ubiquinone and other terpenoid-quinone biosynthesis","7","6","5","3.8993","0.023333","0.067017","0.016","89","0.89","1","1","0.944","P3","EC000139;EC000140;EC000537;EC00065;EC00066;EC00067;EC000655;EC000362"
"Arachidonic acid metabolism","43","42","38","5.1306","0.047005","0.10841","0.017024","0","0","1","1","0.987392","P4","EC000729;EC000602;EC000863;EC000865;EC000301;EC000399;EC000719;EC000956;EC000861"
"Phenylalanine, tyrosine and tryptophan biosynthesis","4","4","4","3.694","0.05183","0.13291","0.017241","98","0.98","1","1","0.987392","P5","EC000143;EC000144;EC00059;EC00065;EC00066;EC00067;EC000537"
"Nitrogen metabolism","6","2","2","1.6418","0.057127","0.20409","0.017483","99","0.99","1","1","0.987392","P6","EC0009;EC00010;EC00012;EC00045"
"Porphyrin metabolism","29","11","5","5.7463","0.091078","0.18174","0.019123","0","0","1","1","1","P7","EC000350;EC000310;EC000312;EC000314;EC0009;EC00010;EC00012;EC000344;EC000843"
"D-Amino acid metabolism","15","15","11","10.056","0.096847","0.16466","0.019418","100","1","1","1","1","P8","EC00045;EC0009;EC00010;EC00012;EC00034;EC00048;EC000310;EC000312;EC000314;EC000590;EC000591;EC000687;EC000666;EC000668"
"Linoleic acid metabolism","4","4","4","2.8731","0.13202","0.30371","0.021326","0","0","1","1","1","P9","EC000566;EC000567;EC000968;EC000720;EC000722"
"Fructose and mannose metabolism","20","17","8","5.7463","0.18517","0.32381","0.024606","98","0.98","1","1","1","P10","EC000457;EC000458;EC000459;EC00018;EC000645;EC000503;EC000504;EC000699"
"Tryptophan metabolism","41","31","17","13.955","0.19019","0.27548","0.024943","100","1","1","1","1","P11","EC00057;EC00058;EC000499;EC000814;EC000815;EC000818;EC000406;EC000694;EC000829;EC000397;EC000487;EC000825;EC000827;EC000607;EC00077;EC000544;EC000880"
"Valine, leucine and isoleucine degradation","35","15","9","6.7724","0.20393","0.3368","0.025892","0","0","1","1","1","P12","EC000180;EC000181;EC000182;EC000159;EC000116;EC000102;EC000262;EC000519;EC000520"
"Galactose metabolism","27","24","14","3.4888","0.24618","0.4546","0.029068","0","0","1","1","1","P13","EC00071;EC00018;EC000457;EC000458;EC000459"
"Arginine and proline metabolism","35","30","14","14.571","0.24754","0.34281","0.029177","100","1","1","1","1","P14","EC000370;EC000262;EC000290;EC000291;EC000511;EC000590;EC000591;EC000310;EC000312;EC000314;EC0009;EC00010;EC00012;EC000654;EC000639;EC000666;EC000668"
"Retinol metabolism","16","14","8","1.847","0.2657","0.56684","0.030678","0","0","1","1","1","P15","EC000341;EC000440;EC0001042"
"Vitamin B6 metabolism","9","7","5","4.5149","0.27259","0.46107","0.03127","100","1","1","1","1","P16","EC000390;EC000239;EC000196;EC000198;EC000358;EC000468"
"Butanoate metabolism","15","9","4","5.541","0.29257","0.46572","0.033059","79","0.79","1","1","1","P17","EC000519;EC000520;EC000262;EC0009;EC00010;EC00012;EC000192"
"Taurine and hypotaurine metabolism","8","5","2","2.0522","0.32693","0.62752","0.036408","25","0.25","1","1","1","P18","EC000188;EC000191;EC000735"
"Lysine degradation","21","8","6","6.7724","0.34181","0.50496","0.037975","100","1","1","1","1","P19","EC00033;EC000639;EC000496;EC000290;EC000291;EC000692;EC000330;EC000332"
"Glyoxylate and dicarboxylate metabolism","31","13","4","4.9254","0.35101","0.54511","0.038981","100","1","1","1","1","P20","EC00048;EC0009;EC00010;EC00012;EC000210;EC00045"
"Terpenoid backbone biosynthesis","14","8","4","3.0784","0.35772","0.60612","0.039735","0","0","1","1","1","P21","EC000296;EC000106;EC000660;EC000661"
"Drug metabolism - cytochrome P450","43","27","11","9.8507","0.36993","0.50627","0.041147","5","0.05","1","1","1","P22","EC0001014;EC0001040;EC0001003;EC0001001;EC0001006;EC0001007;EC000814;EC000815;EC0001019;EC0001020;EC0001039"
"Primary bile acid biosynthesis","46","20","7","6.9776","0.37574","0.53982","0.041839","0","0","1","1","1","P23","EC000624;EC000188;EC000191;EC0001044;EC000725;EC000757;EC000593;EC000735"
"Phosphonate and phosphinate metabolism","4","3","2","1.4366","0.42808","0.79264","0.048709","5","0.05","1","1","1","P24","EC000899;EC000837"
"alpha-Linolenic acid metabolism","12","3","2","1.4366","0.42808","0.79264","0.048709","0","0","1","1","1","P25","EC000989;EC000986"
"Histidine metabolism","16","15","8","11.287","0.43195","0.56193","0.049265","100","1","1","1","1","P26","EC0009;EC00010;EC00012;EC000674;EC000109;EC000741;EC000845;EC000847;EC000287;EC000848;EC000850;EC00034"
"Arginine biosynthesis","14","9","4","6.5672","0.47458","0.64664","0.055911","100","1","1","1","1","P27","EC0009;EC00010;EC00012;EC000315;EC000316;EC00034;EC00045"
"Biotin metabolism","4","3","2","1.6418","0.50207","0.83453","0.060751","4","0.04","1","1","1","P28","EC00096;EC00033"
