Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
311.200639184856,17ahprgstrn,M-H2O-H[-],174.142947726151,0.000966348373992787,EC0001
160.060428316201,1mncam,M+Na[1+],278.83731414508,0.000335150568986364,EC0002
146.938648357765,3spyr,M-H2O-H[-],42.9524714350719,0.000683662264975737,EC0003
164.950020169381,3spyr,M-H[-],127.897137538157,8.81493510007658e-05,EC0004
244.876458402896,3spyr,M+Br[-],46.9368385877778,0.000949916095976278,EC0003
246.873567819726,3spyr,M+Br81[-],46.9965617249995,5.93329259857001e-05,EC0003
200.972058316967,4nphsf,M-H2O+H[1+],297.100208747948,0.000550706002997003,EC0005
200.972282693218,4nphsf,M-H2O+H[1+],204.172465955205,0.00032632975199931,EC0006
218.964920850648,4nphsf,M(S34)-H[-],199.327974552171,0.0004647612180122,EC0006
447.238696474868,5adtststeroneglc,M-H2O-H[-],158.381440511314,8.00583619593453e-05,EC0007
465.249126646449,5adtststeroneglc,M-H[-],144.341669834943,0.000249886780977704,EC0008
466.252391509944,5adtststeroneglc,M(C13)-H[-],144.540548791165,0.000385023285957686,EC0008
481.244406828372,5adtststeroneglc,M-H+O[-],138.534543187951,0.000120295142039595,EC0008
511.255672780973,5adtststeroneglc,M+HCOO[-],141.204355156615,0.00137478097298072,EC0008
525.270285207276,5adtststeroneglc,M+CH3COO[-],138.726901365412,0.000337207275947549,EC0008
535.253458982933,5adtststeroneglc,M+HCOONa[1+],147.493096362989,0.00212951616299506,EC0008
350.15520103671,5adtststerones,M-H2O-H[-],58.4236960358321,0.000492227919949073,EC0009
371.185915631963,5adtststerones,M(C13)+H[1+],69.8220866782549,0.00166943379298345,EC00010
392.163306349088,5adtststerones,M+Na[1+],70.935148232239,0.000460150918002,EC00010
476.373452894824,adrncrn,M+H[1+],64.440322934415,1.73615540006722e-05,EC00011
447.238696474868,ahandrostanglc,M-H2O-H[-],158.381440511314,8.00583619593453e-05,EC0007
465.249126646449,ahandrostanglc,M-H[-],144.341669834943,0.000249886780977704,EC0008
466.252391509944,ahandrostanglc,M(C13)-H[-],144.540548791165,0.000385023285957686,EC0008
481.244406828372,ahandrostanglc,M-H+O[-],138.534543187951,0.000120295142039595,EC0008
511.255672780973,ahandrostanglc,M+HCOO[-],141.204355156615,0.00137478097298072,EC0008
525.270285207276,ahandrostanglc,M+CH3COO[-],138.726901365412,0.000337207275947549,EC0008
535.253458982933,ahandrostanglc,M+HCOONa[1+],147.493096362989,0.00212951616299506,EC0008
220.105591672661,alpam,M-H2O+H[1+],183.437113185166,0.000614480709003828,EC00012
285.185656204199,andrstndn,M-H[-],180.133554094761,0.000335329030974663,EC00013
447.238696474868,andrstrnglc,M-H2O-H[-],158.381440511314,8.00583619593453e-05,EC0007
465.249126646449,andrstrnglc,M-H[-],144.341669834943,0.000249886780977704,EC0008
466.252391509944,andrstrnglc,M(C13)-H[-],144.540548791165,0.000385023285957686,EC0008
481.244406828372,andrstrnglc,M-H+O[-],138.534543187951,0.000120295142039595,EC0008
511.255672780973,andrstrnglc,M+HCOO[-],141.204355156615,0.00137478097298072,EC0008
525.270285207276,andrstrnglc,M+CH3COO[-],138.726901365412,0.000337207275947549,EC0008
535.253458982933,andrstrnglc,M+HCOONa[1+],147.493096362989,0.00212951616299506,EC0008
384.383786383888,arachcrn,M-C3H4O2+H[1+],61.8465505315702,0.000148917117940073,EC00014
456.404761511283,arachcrn,M+H[1+],63.5208951099223,2.40445129975342e-05,EC00014
412.321073899635,arachdcrn,M-H4O2+H[1+],65.2706428332672,0.000138494764996722,EC00015
430.331455219115,arachdcrn,M-H2O+H[1+],79.1422259748042,8.01857549959095e-05,EC00016
448.34245146981,arachdcrn,M+H[1+],68.6338956649526,0.000316064939966054,EC00015
449.345796268152,arachdcrn,M(C13)+H[1+],68.4228273730534,0.000260863281994261,EC00015
466.352866476929,arachdcrn,M+H2O+H[1+],69.1753210669413,0.000131072058991322,EC00015
397.131441421715,C00019,M-H[-],136.688669014845,0.00151788848501155,EC00017
348.07053502182,C00020,M+H[1+],262.338679644488,0.000158555049949882,EC00018
204.059190987554,C00021,M+H+Na[2+],174.796593232476,0.000114520783967009,EC00019
384.12011363486,C00021,M[1+],175.171903552225,0.00148636514001055,EC00019
385.128611430036,C00021,M+H[1+],174.436108412892,0.000265036733992474,EC00019
385.130101954,C00021,M+H[1+],67.5268519521394,0.00122548722998772,EC00020
386.132558685337,C00021,M(C13)+H[1+],174.61824188874,0.000282218567008385,EC00019
407.110560854959,C00021,M+Na[1+],175.319842121584,0.00031561181106099,EC00019
463.038496099363,C00021,M+Br[-],175.238923670111,0.00140390063700124,EC00019
87.0083857487902,C00022,M-H[-],141.782285465291,0.000337784439807365,EC00021
87.0088793868784,C00022,M-H[-],49.717016400835,0.0001558536483941,EC00022
88.0122571380345,C00022,M(C13)-H[-],50.0653060290244,0.000133604804489096,EC00022
102.054952219651,C00025,M-HCOOH+H[1+],184.540603020238,0.000124247118989729,EC00023
