"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Mono-unsaturated fatty acid beta-oxidation","19","4","3","0.47138","0.0045365","0.059219","0.0054539","0","0","0.3311645","1","0.3981347","P1","EC0001352;EC0001414;EC0001415"
"Tyrosine metabolism","160","86","35","23.805","0.03402","0.051447","0.0059693","100","1","1","1","0.4297896","P2","EC0001434;EC000657;EC000543;EC00023;EC00024;EC0001491;EC000556;EC000486;EC000933;EC000432;EC0001252;EC0001057;EC00083;EC00085;EC000399;EC000170;EC00059;EC0001052;EC0001056;EC000312;EC0001253;EC000704;EC000705;EC0001107;EC000771;EC0001067;EC000453;EC000454;EC0001084;EC0001085"
"Carnitine shuttle","72","32","8","4.596","0.051088","0.11552","0.0062911","0","0","1","1","0.4466681","P3","EC00015;EC0001415;EC0001629;EC0001630;EC00014;EC0001607;EC0001636;EC0001609"
"Hexose phosphorylation","20","16","5","3.064","0.052857","0.13738","0.0063255","15","0.15","1","1","0.4466681","P4","EC00032;EC000296;EC000170;EC000552;EC000553;EC000554"
"Urea cycle/amino group metabolism","85","39","12","13.67","0.065005","0.10532","0.0065671","100","1","1","1","0.4531299","P5","EC00023;EC00024;EC000704;EC000705;EC000884;EC000838;EC000399;EC000360;EC000362;EC000364;EC000864;EC000673;EC000543;EC00048;EC000335;EC000336;EC0001625;EC0001627"
"Tryptophan metabolism","94","55","20","13.906","0.074586","0.11875","0.0067647","91","0.91","1","1","0.4599996","P6","EC00023;EC00024;EC0001103;EC0001107;EC000814;EC000490;EC00075;EC000615;EC000933;EC000675;EC00098;EC0001434;EC0001188;EC0001583;EC000917;EC0001095;EC0001092;EC000481"
"Nitrogen metabolism","6","4","3","1.8855","0.084388","0.24127","0.0069734","100","1","1","1","0.4672178","P7","EC00023;EC00024;EC00059;EC00048"
"Vitamin E metabolism","54","16","3","2.0034","0.10146","0.27158","0.0073535","0","0","1","1","0.485331","P8","EC000453;EC000454;EC0001437;EC0001509"
"Vitamin D3 (cholecalciferol) metabolism","16","10","4","1.2963","0.10613","0.33315","0.0074613","0","0","1","1","0.485331","P9","EC0001578;EC0001469;EC0001406"
"Putative anti-Inflammatory metabolites formation from EPA","27","11","2","1.2963","0.10613","0.33315","0.0074613","0","0","1","1","0.485331","P10","EC00023;EC00024;EC000961"
"Fatty acid oxidation","35","1","1","0.11785","0.10776","1","0.0074992","0","0","1","1","0.485331","P11","EC0001415"
"Arginine and Proline Metabolism","45","26","11","8.9562","0.10828","0.18244","0.0075114","100","1","1","1","0.485331","P12","EC00023;EC00024;EC000884;EC000838;EC000747;EC000360;EC000362;EC000364;EC00059;EC00048;EC000335;EC000336"
"Fructose and mannose metabolism","33","22","5","2.9461","0.12314","0.27603","0.0078682","13","0.13","1","1","0.485331","P13","EC00032;EC000552;EC000553;EC000554;EC000844"
"Benzoate degradation via CoA ligation","4","2","2","0.70707","0.12956","0.49393","0.0080281","0","0","1","1","0.485331","P14","EC000143;EC000826"
"Drug metabolism - cytochrome P450","53","32","9","5.8923","0.16229","0.28378","0.0088986","0","0","1","1","0.5250174","P15","EC0001403;EC0001375;EC0001386;EC0001092;EC0001371;EC0001369;EC0001230;EC000998"
"Valine, leucine and isoleucine degradation","65","25","10","5.8923","0.16229","0.28378","0.0088986","98","0.98","1","1","0.5250174","P16","EC00023;EC00024;EC000138;EC000124;EC000191;EC000617;EC000215;EC000217"
"Porphyrin metabolism","43","16","4","4.1246","0.16742","0.3186","0.0090443","0","0","1","1","0.5250174","P17","EC000360;EC000362;EC000364;EC0001127;EC000410;EC000400"
"Di-unsaturated fatty acid beta-oxidation","26","4","2","0.82492","0.16897","0.54835","0.0090887","0","0","1","1","0.5250174","P18","EC0001414;EC000707"
"Lysine metabolism","52","19","7","6.4815","0.2344","0.37467","0.011198","100","1","1","1","0.61589","P19","EC00023;EC00024;EC000386;EC000388;EC000838;EC000605;EC000335;EC000336"
"Ubiquinone Biosynthesis","10","7","3","1.8855","0.24401","0.52467","0.01155","76","0.76","1","1","0.6237","P20","EC000657;EC000166;EC000170"
"Butanoate metabolism","34","20","7","6.5993","0.25005","0.39319","0.011778","100","1","1","1","0.624234","P21","EC00023;EC00024;EC0001045;EC0001048;EC000191;EC000854;EC000617;EC000576"
"Aminosugars metabolism","69","19","4","3.8889","0.27885","0.47854","0.012932","33","0.33","1","1","0.672464","P22","EC00023;EC00024;EC000296;EC00059;EC0001115"
"Vitamin B9 (folate) metabolism","33","9","2","2.1212","0.30546","0.59044","0.014109","0","0","1","1","0.719559","P23","EC00023;EC00024;EC00062"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","20","4","4.1246","0.32305","0.52658","0.014951","100","1","1","1","0.74755","P24","EC00023;EC00024;EC00059;EC000783;EC00048"
"Phytanic acid peroxisomal oxidation","34","6","2","1.2963","0.33577","0.7137","0.015595","1","0.01","1","1","0.764155","P25","EC0001352;EC0001415"
"Androgen and estrogen biosynthesis and metabolism","95","39","8","4.2424","0.34546","0.54979","0.016106","0","0","1","1","0.773088","P26","EC0001002;EC0001034;EC000396;EC0001031;EC0001260"
"Alanine and Aspartate Metabolism","30","17","5","4.3603","0.36798","0.57241","0.017366","100","1","1","1","0.816202","P27","EC00023;EC00024;EC00059;EC000783;EC00048"
"CoA Catabolism","7","6","2","1.4141","0.37677","0.74458","0.017888","0","0","1","1","0.822848","P28","EC000566;EC000574"
"Linoleate metabolism","46","29","12","7.5421","0.38412","0.53864","0.018337","0","0","1","1","0.825165","P29","EC0001482;EC000962;EC000964;EC0001484;EC0001301;EC0001298;EC0001533;EC000707"
"N-Glycan biosynthesis","48","10","3","1.532","0.4167","0.77215","0.020487","0","0","1","1","0.901428","P30","EC000128;EC00032"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","6","2","1.532","0.4167","0.77215","0.020487","0","0","1","1","0.901428","P31","EC000566;EC000574"
"Omega-3 fatty acid metabolism","39","7","2","1.532","0.4167","0.77215","0.020487","0","0","1","1","0.901428","P32","EC0001349;EC0001352"
"Beta-Alanine metabolism","20","12","3","3.6532","0.43329","0.66223","0.021689","91","0.91","1","1","0.901428","P33","EC00023;EC00024;EC000131;EC00048"
"Polyunsaturated fatty acid biosynthesis","21","1","1","0.58923","0.43495","1","0.021814","0","0","1","1","0.901428","P34","EC000697"
"Alkaloid biosynthesis II","10","6","1","1.6498","0.45532","0.79676","0.02341","90","0.9","1","1","0.91299","P35","EC0001282;EC0001283"
"C21-steroid hormone biosynthesis and metabolism","112","56","7","6.0101","0.47627","0.6536","0.025193","0","0","1","1","0.957334","P36","EC000530;EC0001260;EC000396;EC000400;EC0001034;EC0001031"
"Lipoate metabolism","8","2","1","0.70707","0.49603","1","0.027016","85","0.85","1","1","0.999592","P37","EC0001465"
"Aspartate and asparagine metabolism","114","63","18","16.145","0.51761","0.62233","0.029183","100","1","1","1","1","P38","EC00023;EC00024;EC000360;EC000362;EC000364;EC000864;EC000747;EC0001440;EC00048;EC000335;EC000336;EC00059;EC000954;EC000617;EC000838"
"Saturated fatty acids beta-oxidation","36","4","1","0.82492","0.55053","1","0.032889","5","0.05","1","1","1","P39","EC0001001"
"Biopterin metabolism","22","8","1","2.0034","0.5617","0.85582","0.034268","93","0.93","1","1","1","P40","EC00083;EC00085"
"Fatty Acid Metabolism","63","11","3","3.1818","0.56987","0.80362","0.03532","1","0.01","1","1","1","P41","EC000812;EC000707;EC000697"
"Glutathione Metabolism","19","10","2","3.1818","0.56987","0.80362","0.03532","69","0.69","1","1","1","P42","EC000747;EC00023;EC00024"
"Galactose metabolism","41","31","8","4.3603","0.57719","0.77634","0.036295","0","0","1","1","1","P43","EC00032;EC000552;EC000553;EC000554"
"Glutamate metabolism","15","12","3","4.3603","0.57719","0.77634","0.036295","96","0.96","1","1","1","P44","EC00023;EC00024;EC00059;EC000884"
"Bile acid biosynthesis","82","33","5","4.4781","0.59915","0.79194","0.039417","0","0","1","1","1","P45","EC0001021;EC000967;EC0001406;EC000226"
"Ascorbate (Vitamin C) and Aldarate Metabolism","29","20","4","4.596","0.62042","0.80663","0.042752","45","0.45","1","1","1","P46","EC000453;EC000454;EC000768;EC0001016"
"Squalene and cholesterol biosynthesis","55","17","3","2.2391","0.62399","0.88536","0.043343","0","0","1","1","1","P47","EC000128;EC000343"
"Starch and Sucrose Metabolism","33","16","4","2.2391","0.62399","0.88536","0.043343","0","0","1","1","1","P48","EC000528;EC00032"
"De novo fatty acid biosynthesis","106","17","5","4.7138","0.64098","0.82044","0.046302","0","0","1","1","1","P49","EC000697;EC0001415;EC000812;EC000707"
"Vitamin H (biotin) metabolism","5","4","1","1.0606","0.64258","1","0.046593","0","0","1","1","1","P50","EC000118"
"Carbon fixation","10","9","2","2.3569","0.65249","0.89779","0.048445","94","0.94","1","1","1","P51","EC000256;EC00048"
"Glycine, serine, alanine and threonine metabolism","88","39","5","9.6633","0.67508","0.79526","0.05302","100","1","1","1","1","P52","EC00023;EC00024;EC000191;EC000360;EC000362;EC000364;EC00062;EC000771"
"Leukotriene metabolism","92","23","4","3.771","0.68772","0.87376","0.055812","0","0","1","1","1","P53","EC000608;EC00023;EC0001572"
