"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Mono-unsaturated fatty acid beta-oxidation","19","4","4","0.88889","0.0016803","0.028036","0.0054446","0","0","0.1445058","1","0.4682356","P1","EC0001352;EC0001414;EC0001415;EC00018"
"Tyrosine metabolism","160","86","54","44.889","0.0071221","0.01076","0.0055367","100","1","0.6053785","0.92536","0.4706195","P2","EC00027;EC00018;EC0001434;EC000657;EC000543;EC000546;EC00023;EC00024;EC00026;EC0001491;EC000556;EC000486;EC000903;EC000632;EC000633;EC000788;EC000933;EC000276;EC000432;EC000435;EC0001057;EC00077;EC000908;EC00083;EC00084;EC00085;EC0001526;EC000399;EC000170;EC000172;EC00059;EC0001052;EC0001056;EC000312;EC0001253;EC0001089;EC000448;EC000703;EC000704;EC000705;EC0001107;EC000771;EC000772;EC0001067;EC0001069;EC0001062;EC0001076;EC0001079;EC000453;EC000454;EC0001084;EC0001085;EC000102;EC0001468;EC0001377"
"Butanoate metabolism","34","20","14","12.444","0.010892","0.022639","0.0056015","71","0.71","0.914928","1","0.4706195","P3","EC00023;EC00024;EC00026;EC00027;EC00018;EC000102;EC0001044;EC0001045;EC0001048;EC000191;EC000192;EC000853;EC000854;EC000617;EC000618;EC0001164;EC0001167;EC000227;EC000576"
"Fructose and mannose metabolism","33","22","8","5.5556","0.018489","0.048939","0.0057345","6","0.06","1","1","0.4759635","P4","EC000623;EC000624;EC000626;EC000111;EC00032;EC000551;EC000552;EC000553;EC000554;EC000844"
"Valine, leucine and isoleucine degradation","65","25","15","11.111","0.032966","0.06369","0.0059974","61","0.61","1","1","0.4917868","P5","EC00023;EC00024;EC00026;EC00027;EC00018;EC000102;EC000138;EC000124;EC000191;EC000192;EC000617;EC000618;EC000215;EC000216;EC000217;EC000219"
"Di-unsaturated fatty acid beta-oxidation","26","4","3","1.5556","0.034887","0.15209","0.0060332","0","0","1","1","0.4917868","P6","EC00018;EC0001414;EC000707;EC000708"
"De novo fatty acid biosynthesis","106","17","12","8.8889","0.046295","0.091857","0.0062507","0","0","1","1","0.500056","P7","EC00018;EC000696;EC000697;EC000698;EC000517;EC0001197;EC000713;EC000762;EC0001415;EC000812;EC000859;EC000707;EC000708"
"Phytanic acid peroxisomal oxidation","34","6","5","2.4444","0.052962","0.16623","0.0063817","0","0","1","1","0.5041543","P8","EC00027;EC00018;EC000713;EC0001352;EC0001415"
"Polyunsaturated fatty acid biosynthesis","21","1","1","1.1111","0.060121","0.2679","0.0065256","0","0","1","1","0.5089968","P9","EC000696;EC000697;EC000698"
"Hexose phosphorylation","20","16","5","5.7778","0.063038","0.13707","0.0065852","69","0.69","1","1","0.5089968","P10","EC00032;EC000294;EC000296;EC000170;EC000172;EC000551;EC000552;EC000553;EC000554"
"Fatty acid activation","74","19","11","8.6667","0.079392","0.14752","0.0069304","0","0","1","1","0.5267104","P11","EC00018;EC000713;EC000517;EC0001415;EC0001197;EC000227;EC000707;EC000708;EC000696;EC000697;EC000698;EC000859"
"Histidine metabolism","33","22","12","14.222","0.080638","0.13215","0.0069574","100","1","1","1","0.5267104","P12","EC00023;EC00024;EC00026;EC00027;EC00018;EC000894;EC000896;EC000539;EC000541;EC000496;EC0001134;EC000131;EC000185;EC0001129;EC0001131;EC000994;EC000996;EC000331"
"Ubiquinone Biosynthesis","10","7","4","3.5556","0.086043","0.20867","0.0070762","35","0.35","1","1","0.5267104","P13","EC00018;EC000657;EC000165;EC000166;EC000170;EC000172"
"Tryptophan metabolism","94","55","30","26.222","0.09686","0.13787","0.0073204","100","1","1","1","0.5343892","P14","EC00023;EC00024;EC00026;EC00027;EC00018;EC0001103;EC0001107;EC000814;EC000490;EC000773;EC00075;EC00076;EC000615;EC000933;EC000675;EC0001098;EC00098;EC0001434;EC0001188;EC0001466;EC0001582;EC0001583;EC0001467;EC000917;EC0001095;EC0001091;EC0001092;EC000596;EC000241;EC000481"
"Benzoate degradation via CoA ligation","4","2","2","1.3333","0.10247","0.35101","0.0074507","0","0","1","1","0.5364504","P15","EC000143;EC000144;EC000826"
"Drug metabolism - cytochrome P450","53","32","14","11.111","0.11859","0.19566","0.0078385","0","0","1","1","0.5565335","P16","EC0001403;EC0001375;EC0001386;EC0001387;EC0001091;EC0001092;EC0001382;EC0001374;EC0001371;EC0001369;EC0001230;EC0001393;EC0001377;EC000998"
"Urea cycle/amino group metabolism","85","39","18","25.778","0.12027","0.16827","0.0078803","100","1","1","1","0.5565335","P17","EC00023;EC00024;EC00026;EC000703;EC000704;EC000705;EC000884;EC000838;EC000839;EC000950;EC000365;EC000366;EC000399;EC00071;EC000651;EC00027;EC000360;EC000362;EC000364;EC000864;EC000673;EC000543;EC000546;EC000276;EC00048;EC000335;EC000336;EC0001625;EC0001627"
"Carnitine shuttle","72","32","12","8.6667","0.14987","0.25243","0.0086548","0","0","1","1","0.5971812","P18","EC0001637;EC00015;EC0001415;EC0001629;EC0001630;EC0001620;EC00014;EC0001607;EC0001643;EC0001636;EC0001609"
"Putative anti-Inflammatory metabolites formation from EPA","27","11","2","2.4444","0.16762","0.39121","0.0091583","0","0","1","1","0.6227644","P19","EC00023;EC00024;EC00026;EC000961"
"Methionine and cysteine metabolism","94","32","14","13.778","0.17402","0.26022","0.0093471","21","0.21","1","1","0.6262557","P20","EC00023;EC00024;EC00026;EC00027;EC00018;EC000324;EC000651;EC000102;EC000429;EC00071;EC000223;EC000226;EC000771;EC000772;EC00062;EC0001341"
"Fatty acid oxidation","35","1","1","0.22222","0.2032","1","0.010265","0","0","1","1","0.67749","P21","EC0001415"
"Nitrogen metabolism","6","4","3","3.5556","0.21056","0.41226","0.010511","100","1","1","1","0.683215","P22","EC00023;EC00024;EC00026;EC00059;EC00048"
"C21-steroid hormone biosynthesis and metabolism","112","56","19","11.333","0.22074","0.32984","0.010862","0","0","1","1","0.695168","P23","EC0001029;EC0001424;EC000523;EC000524;EC000530;EC0001260;EC000396;EC000797;EC000400;EC0008;EC0001034;EC000956;EC0001031"
"Arachidonic acid metabolism","95","51","20","7.5556","0.23981","0.38138","0.011555","0","0","1","1","0.727965","P24","EC00023;EC00024;EC00026;EC00018;EC0001306;EC000608;EC000483;EC000168;EC0001197"
"Vitamin E metabolism","54","16","4","3.7778","0.25195","0.46224","0.012022","0","0","1","1","0.745364","P25","EC00018;EC000453;EC000454;EC0001437;EC0001509"
"Omega-3 fatty acid metabolism","39","7","4","2.8889","0.26203","0.50833","0.012424","0","0","1","1","0.757864","P26","EC00018;EC0001349;EC0001197;EC0001352"
"Vitamin B9 (folate) metabolism","33","9","3","4","0.29514","0.51066","0.013853","0","0","1","1","0.83118","P27","EC00023;EC00024;EC00026;EC00062;EC000496"
"Androgen and estrogen biosynthesis and metabolism","95","39","13","8","0.29959","0.44963","0.014059","0","0","1","1","0.83118","P28","EC000797;EC0001002;EC0001034;EC000396;EC0001031;EC0001260;EC0008;EC0001472;EC000956"
"Fatty Acid Metabolism","63","11","4","6","0.30037","0.47531","0.014095","0","0","1","1","0.83118","P29","EC000713;EC000812;EC000707;EC000708;EC000696;EC000697;EC000698"
"Lysine metabolism","52","19","11","12.222","0.31704","0.43909","0.014897","100","1","1","1","0.849129","P30","EC00023;EC00024;EC00026;EC00027;EC00018;EC000388;EC0001037;EC000838;EC000839;EC000605;EC000335;EC000336;EC000915"
"Lipoate metabolism","8","2","1","1.3333","0.35252","0.7435","0.016776","72","0.72","1","1","0.939456","P31","EC0001464;EC0001465"
"Arginine and Proline Metabolism","45","26","14","16.889","0.36995","0.4774","0.017794","100","1","1","1","0.97867","P32","EC00023;EC00024;EC00026;EC00027;EC000884;EC000838;EC000839;EC00071;EC000651;EC000747;EC000360;EC000362;EC000364;EC00059;EC00048;EC000335;EC000336"
"Vitamin D3 (cholecalciferol) metabolism","16","10","4","2.4444","0.39327","0.68637","0.019265","0","0","1","1","1","P33","EC0001578;EC0001469;EC0001406"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","28","20","6","7.7778","0.41919","0.58372","0.021061","100","1","1","1","1","P34","EC00023;EC00024;EC00026;EC00018;EC00059;EC000241;EC000783;EC00048"
"Linoleate metabolism","46","29","18","14.222","0.42658","0.54725","0.021607","0","0","1","1","1","P35","EC0001455;EC0001474;EC0001482;EC000962;EC000964;EC0001484;EC000168;EC0001301;EC0001304;EC0001297;EC0001298;EC0001197;EC000707;EC000708"
"Vitamin A (retinol) metabolism","67","24","12","5.7778","0.43895","0.63069","0.022556","0","0","1","1","1","P36","EC0001515;EC000532;EC000762;EC0001404;EC00018;EC000397"
"CoA Catabolism","7","6","3","2.6667","0.45323","0.73344","0.023712","0","0","1","1","1","P37","EC00018;EC000566;EC000574"
"Biopterin metabolism","22","8","2","3.7778","0.46482","0.70092","0.024699","95","0.95","1","1","1","P38","EC00077;EC00083;EC00084;EC00085"
"Vitamin B6 (pyridoxine) metabolism","11","6","5","4.8889","0.47266","0.68037","0.025392","100","1","1","1","1","P39","EC000233;EC000424;EC000276;EC000474;EC000562"
"Alanine and Aspartate Metabolism","30","17","7","8.2222","0.48717","0.64705","0.026736","100","1","1","1","1","P40","EC00023;EC00024;EC00026;EC00027;EC00018;EC00059;EC000783;EC00048"
"Glycine, serine, alanine and threonine metabolism","88","39","11","18.222","0.50817","0.61417","0.028827","100","1","1","1","1","P41","EC00023;EC00024;EC00026;EC00027;EC00018;EC000191;EC000192;EC000247;EC00071;EC000360;EC000362;EC000364;EC0001168;EC00062;EC000102;EC000771;EC000772"
"Vitamin B5 - CoA biosynthesis from pantothenate","12","6","3","2.8889","0.51059","0.77436","0.02908","0","0","1","1","1","P42","EC00018;EC000566;EC000574"
"N-Glycan Degradation","16","5","2","4","0.51331","0.73897","0.029366","11","0.11","1","1","1","P43","EC00032;EC000623;EC000624;EC000626"
"Selenoamino acid metabolism","35","12","5","5.1111","0.51545","0.71571","0.029594","0","0","1","1","1","P44","EC00018;EC00062;EC000102;EC000474;EC0001120"
"Aminosugars metabolism","69","19","4","7.3333","0.51892","0.68644","0.029969","73","0.73","1","1","1","P45","EC00023;EC00024;EC00026;EC000294;EC000296;EC00059;EC0001115"
"Prostaglandin formation from arachidonate","78","44","20","9.5556","0.52181","0.66848","0.030285","0","0","1","1","1","P46","EC0001545;EC0001153;EC000608;EC0001511;EC0001158;EC000483;EC00018;EC0001154;EC0001156"
"Squalene and cholesterol biosynthesis","55","17","5","4.2222","0.55968","0.77309","0.034803","0","0","1","1","1","P47","EC000128;EC000343;EC000652;EC000102"
"Alkaloid biosynthesis II","10","6","2","3.1111","0.56463","0.8097","0.035449","96","0.96","1","1","1","P48","EC00018;EC0001282;EC0001283"
"Vitamin H (biotin) metabolism","5","4","2","2","0.57398","0.87037","0.03671","0","0","1","1","1","P49","EC000118;EC00018"
"Porphyrin metabolism","43","16","5","7.7778","0.58729","0.74295","0.038596","0","0","1","1","1","P50","EC000360;EC000362;EC000364;EC0001127;EC000589;EC000410;EC000400"
"Propanoate metabolism","31","10","5","4.4444","0.60356","0.80348","0.04106","0","0","1","1","1","P51","EC00018;EC000102;EC000617;EC000618"
"Keratan sulfate degradation","68","5","1","3.3333","0.61486","0.84003","0.042883","40","0.4","1","1","1","P52","EC000623;EC000624;EC000626"
"Beta-Alanine metabolism","20","12","4","6.8889","0.62565","0.78429","0.044714","100","1","1","1","1","P53","EC00023;EC00024;EC00026;EC000131;EC00027;EC00048"
"Glycerophospholipid metabolism","156","43","14","19.556","0.63874","0.73229","0.047062","0","0","1","1","1","P54","EC000168;EC000665;EC000349;EC000350;EC000736;EC000247;EC00094;EC0001197;EC0001115;EC000502;EC000503;EC000448;EC00062;EC000111;EC000707;EC000708;EC00032"
"Glutamate metabolism","15","12","5","8.2222","0.65052","0.7918","0.049304","100","1","1","1","1","P55","EC00023;EC00024;EC00026;EC00027;EC00059;EC000884;EC000102"
